CONAME,BIZADD,DATE_SCRAPED,HREF,EMAIL,TEL,FAILMSG 
WENKT VACATION SDN BHD,LOT 1287 KAMPUNG PULAU KUBANG KERIAN 16150 KELANTAN,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=65071&sid=0457F1A08217B8773C14C15A8FC9E656,info@minkem.com,013 - 2000440,
VISTERN HEALTH SDN BHD,"NO. L3-08, 3RD FLOOR SHAW PARADE CHANGKAT THAMBI DOLLAH 55100 KUALA LUMPUR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15158&sid=5972EA1C3F5DB2608CDAE0F0D71BD036,annieng@visternhealth.com,03 - 21431509,
INASIANA SOLUTIONS SDN BHD,"SUITE #305, MBE GTOWER G-02A GROUND FLOOR, GTOWER 199 JALAN TUN RAZAK, 50400 KUALA LUMPUR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=69136&sid=1EDA6ECF43DA89D3CB0B4EEDF535185F,info@inasiana.com,03 - 41416140,
DOHAS NUTRI ESSENCE,"12,LORONG BERJAYA INDAH 1, TAMAN BERJAYA INDAH BUKIT MERTAJAM 13800 PULAU PINANG",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=66203&sid=2B5E51FB22C6FC20BBC62568B3DA37E9,anglimwt@gmail.com,016 - 4359965,
NAHAA NATURE TRADING,"7,LORONG PANCHOR INDAH 2 TAMAN PANCHOR INDAH NIBONG TEBAL 14200 PULAU PINANG",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=81357&sid=54DB9128434EFE96D1358B7020DDF064,ctent2800@gmail.com,04 - 5933691,
AMEESHA ENTERPRISE,"3B-04-03 BLOK B OKID APARTMENT, JALAN BUKIT INDAH 3/4 AMPANG 68000 SELANGOR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=61573&sid=5253A1BA783010B5C69692BA641DF5D0,raja_jr@yahoo.com,016 - 9924565,
SAMUDERA SWISS SDN BHD,"NO.26-01, JALAN PERSIARAN LARKIN PERDANA JOHOR BAHRU 80350 JOHOR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=57725&sid=3965C22034E4D5934220F85893765608,samuderaswiss.ops@gmail.com,07 - 2340291,
DR. OETKER NONA MALAYSIA SDN BHD,"LEVEL 7, MENARA MILENIUM 8 JALAN DAMANLELA PUSAT BANDAR DAMANSARA / DAMANSARA HEIGHTS 50490 KUALA LUMPUR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=81484&sid=3593982FFC66202E12112E689125CFF1,service@oetker.com.my,04 - 5017504,
PG LEAN HWA TRADING SDN BHD,"1486, MK 12, JALAN SERUNAI LADANG VALDOR, SG BAKAP, SG JAWI SEBERAN PERAI SELATAN 14200 PULAU PINANG",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=34141&sid=B053A85A70C84963392DCF6490A4A55C,pgleanhwa@yahoo.com,04 - 5824720,
NH GLOBAL SOLUTION,"SUITE 177, MBE PUCHONG 10 PERSIARAN PUTERI 1 BANDAR PUTERI 47100 SELANGOR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=67240&sid=81204E9805A04FAEADF5DE9DB9FEB2E5,nhglobalsolution@gmail.com,019 - 8998365,
YOU DUN CHAO HEALTHCARE PRODUCTS SDN BHD,"10 JALAN KUCHAI MAJU 16, KUCHAI ENTREPRENEUR'S PARK, OFF JALAN KUCHAI LAMA 58200 KUALA LUMPUR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=80029&sid=D4C5DB2237CCAA6BF6CD37FC2CC5ED90,youdunchao@yahoo.com,03 - 79828268,
GOLDENPINE ENTERPRISE,7A JALAN KIJANG TAMAN MOHD YASSIN SIMPANG RENGGAM 86200 JOHOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=80013&sid=CE8599D72AC99D8ABE9E4862EE57628B,goldenpine_tan@yahoo.com.my,07 - 7557363,
SEROTECH SDN BHD,"LEVEL 3, BANGUNAN WAWASAN UNIVERSITI KEBANGSAAN MALAYSIA BANDAR BARU BANGI 43600 SELANGOR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=69995&sid=316F8E21DF2D65A47ACF4D8C9D66FCCE,info@serotech.com.my,03 - 89261238,
GENERAL LANE (M) SDN BHD,"NO 10-2 (1ST. FLOOR), JLN 11/116B KUCHAI ENTREPRENEURS' PARK OFF JLN KUCHAI LAMA 58200 KUALA LUMPUR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=3881&sid=6C5FC7E5C1B0C119420028D1BA818157,badilfz@yahoo.com,03 - 79816607,
ENDONA CORPORATION SDN BHD,NO.9-2 JLN JELATEK 2 JELATEK BUSINESS PARK 5 KUALA LUMPUR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=39297&sid=1218C62589CDA1C56AD353E8556B9DFF,admin@endonacorp.com,03 - 42560834,
ARDENT VISION SDN BHD,"LOT2127, JALAN JERAM, SUNGAI TERAP BUKIT PASIR MUAR 84300 JOHOR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=79942&sid=1A797946BAE961EBCED0FFC43B605E03,ardent_vision@yahoo.com.my,06 - 9859550,
MYS LOGISTIC SDN BHD,K 9618 TMN CUKAI UTAMA JLN KUBANG KURUS KEMAMAN 24000 TERENGGANU,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=4357&sid=E4520774696328E28FBC87EA74E85C1B,zulmys@mysl.com.my,09 - 8593767,
PIONEERFEED BIOSCIENCE SDN BHD,"D-3A-5 MEGAN AVENUE 1 189, JALAN TUN RAZAK PULAU INDAH 50400 KUALA LUMPUR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15197&sid=D62BF4CF750CD2503D55231A8EC0FB3D,hunboon.wong@pioneerfeed.com.my,03 - 21667595,
KOKUSAI KOI SND BHD,"J-G-11, BLOCK J TAIPAN DAMANSARA 2 JALAN PJU 1A/1, ARA DAMANSARA 47301 SELANGOR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=80374&sid=D3B264E6A3E8968BE1C536EBC1CDB8E8,enquiry@kokusaikoi.com,019 - 6657705,
PROLINK MARKETING SDN BHD,"2D-1, JALAN JUBLI PERAK 22/1 SECTION 22 SHAH ALAM 40400 SELANGOR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=70521&sid=23E0BF613C926535AE51090B051B45C5,prolinkmarketingberhad@gmail.com,03 - 55691575,
R ADVANCE PRODUCTS & SERVICES,"22, JALAN PERUSAHAAN 4 ZON IKS KUALA SELANGOR KUALA SELANGOR 45000 SELANGOR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=80690&sid=B93A8D1ED5291B65198995BEEB054E28,razpetitefood@gmail.com,017 - 4770856,
QIDAMM RESOURCES,LOT 1433 1(D) BT 7 3/4 LORONG HAJI MOHD NOR SG. CINCIN GOMBAK 53100 KUALA LUMPUR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=54897&sid=73B5BE170B1FF4BB913F3E213691311A,qidammresources@yahoo.com,012 - 9302725,
CHOP AIK LEE,1866 SUNGAI UDANG NIBONG TEBAL 14310 PULAU PINANG,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=80716&sid=604EE1010429A8D1D5D5A56F990CA05F,ming_khor@hotmail.com,012 - 5163131,
SUMMIT SS INTERNATIONAL SDN BHD,"10-1 BLOCK-A,ZENITH CORPORATE PARK JALAN SS7/26,KELANA JAYA,PETALING JAYA 47301 SELANGOR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=80894&sid=63292415B5A34835E5110F7D27FC84C2,info@summitss.com.my,03 - 78876757,
ENERGETIX SOLUTION,102 JALAN SS18/1C SUBANG JAYA 47500 SELANGOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=80896&sid=9CD960FAB56E9A1BB528F79264817FB5,reachus@energetixgroup.org,012 - 2909004,
TECHSAR GLOBAL SDN BHD,"36 SF, 2ND FLOOR FRONT BLOCK O, SYNERGY SQUARE JALAN MATANG, KUCHING 93050 SARAWAK",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=82482&sid=65248F46831D5B7866E5B88E809D6257,techsarglobal@gmail.com,082 - 649467,
GLOBALMAX MARKETING,"24, JALAN DU4/1, KINRARA RESIDENCE PUCHONG  47180 SELANGOR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=82627&sid=CD745D81366AF1C46A2C3A609737BEBC,export@global-max.com.my,012 - 0123303233,
AL-HILMI AGROFARM SDN BHD,"LEVEL 1 WISMA AL-HILMI,NO 252 JALAN BANDAR 12,TAMAN MELAWATI 53100 KUALA LUMPUR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=79937&sid=A6E5EC1A2B1FF05A504E5B91C6EA34A6,juliana@al-hilmi.com.my,03 - 41472790,
NAF FRUIT MASTER,83A STESEN PENGKALAN 18/1 IPOH 31650 PERAK,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=80309&sid=56045BC6F9A6DE63AC958D4F1B89160B,nafsale@gmail.com,012 - 7333387,
PARAS BAIDURI SDN BHD,9 JALAN 1/20 TAMAN KAJANG UTAMA KAJANG 43000 SELANGOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=34198&sid=BFC64C1E5191B511AAF67E394825E9D5,jscalibre08@yahoo.com,03 - 87399675,
HAMIE INDUSTRIES SDN BHD,PT 3313 BENGKEL IKS TERENGGANU HALAL HUB KAW PERINDUSTRIAN CHENDERING 21080 TERENGGANU,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=82774&sid=01617445A88286B64673CD00975DC972,hamieindustriessb@gmail.com,019 - 9514771,
CVW VENTURES SDN BHD,66 JALAN TENGKERA  75200 MELAKA,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=82765&sid=6E95BDFE6D7035A6E356FB0B3C27DE5B,enquires@cvw-group.com,06 - 2839357,
LINACO BIOTECH SDN BHD,NO.12 LINTANG SUNGAI KERAMAT 2B TAMAN KLANG UTAMA KLANG 42100 SELANGOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=61303&sid=F531C1B7F7DDB8040A5589A7DBC10AE6,linaco@linaco.com.my,03 - 32914589,
JOCK SHIPPING & FORWARDING SDN BHD,"ROOM 1, 1ST FLOOR WISMA BOON SAN TONG 49-B WELD QUAY, GEORGETOWN 10300 PULAU PINANG",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11793&sid=233D1857A0FCE6852A327739C8475278,jeffrey@jockship.com,04 - 2627070,
GHADEER INC (M) SDN BHD,"NO.14, JLN LAKSAMANA 11 TMN MEWAH JAYA 3 KLANG 41200 SELANGOR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=41401&sid=302B052D4D832AEE3C4A8718D165F585,ghadeerinc@gmail.com,03 - 51622208,
GGM ENTERPRISE (SABAH) SDN BHD,"LOT 101 LEVEL 1, WISMA SESB JLN TUNKU ABDUL RAHMAN P.O. BOX 11476, KOTA KINABALU 88816 SABAH",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8541&sid=D34E682B99EF7A8D74244B73CEB1C560,mitu2272002@yahoo.co.jp,088 - 238119,
STAR REVOLUTION SDN BHD,"NO. 111-1, JALAN 3/23 A, OFF JLN GENTING KELANG TAMAN DANAU KOTA SETAPAK, KUALA LUMPUR 53300 KUALA LUMPUR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=64970&sid=523FDBD0D1990EBFDA88E28E179DE5CF,starrevolution2010@hotmail.com,03 - 41310786,
KALTECH FOOD PRODUCTS SDN BHD,"42&44 JALAN USAHAJAYA KAWASAN PERINDUSTRIAN RINGAN USAHAJAYA PERMATANG TINGGI, BUKIT MERTAJAM 14100 PULAU PINANG",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=83226&sid=0FFA603DD7ED8C559BE2BAF55E5E4C98,ramenraj_kfp@kaltech.com.my,04 - 5882343,
SS AGROBIOTECH (M) SDN BHD,"SUITE 301, BLOCK A, LOBBY 1 DAMANSARA INTAN BUILDING COMPLEX 1, JALAN 5520/27, PETALING JAYA 47300 SELANGOR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=80884&sid=5873271BE92142E9FA34B5C7C99CE4F4,ssagrobiotech@yahoo.co.uk,03 - 77221151,
PESAKA PAHLAWAN SDN BHD,MDB 184 KAMPUNG TOK BURUNG PANTAI IRAMA BACHOK 16200 KELANTAN,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=83411&sid=A72D345CD7C00F30E0C66D30AC984DF4,exportimporthalalfood@gmail.com,09 - 7462016,
A & B TRADE MASTERS,24 JALAN PERINDUSTRIAN NIBONG TEBAL 1 TAMAN PERINDUSTRIAN NIBONG TEBAL NIBONG TEBAL 14300 PULAU PINANG,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=66788&sid=322D211FDF918A5B87D108872979C9E1,enq.trademasters@gmail.com,012 - 4477485,
AQUARIGHT MARINE SUPPLIES SDN BHD,"NO 9 LORONG PERUSAHAAN PENGKALAN 4, TMN PERKHIDMATAN PERUSAHAAN PENGKALAN, TAIPING 34000 PERAK",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=76340&sid=07768D896FEB5744A4521E25C18F750A,saykhiam.ooi@aquaright.com.my,05 - 8410082,
ORIENTAL PRESTIGE MARKETING & SERVICES SDN BHD,81B JALAN TENGKU BADAR PORT KLANG 42000 SELANGOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=83439&sid=9D00A6E5605DDB618066E8AFADF36D57,cedric@opms.com.my,019 - 2801126,
RAIH JAYA (M) SDN BHD,15 JALAN TC 2A/1 TAMAN CEMERLANG OFF TAMAN MELATI SETAPAK 53100 KUALA LUMPUR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=14977&sid=317AE07A99130FAF847F8BBFDD22082C,raihjaya@streamyx.com,03 - 41087976,
FS 89 SDN BHD,"G3 D TOWER, THE HERITAGE JALAN SB DAGANG SERI KEMBANGAN 43300 SELANGOR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=83551&sid=F761495D40FC58F424D14C2D54354B43,antheny88@gmail.com,03 - 89530889,
GLOBAL BABA NYONYA HERITAGE SDN BHD,A-32 MENARA NU 203 JALAN TUN SAMBANTHAN KUALA LUMPUR 50470 KUALA LUMPUR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=83556&sid=2C50E55DC7A94CCB68ABD9E61C0307B5,chtan2005@gmail.com,03 - 79870062,
AMDRIVE PERFORMANCE,"1792, LOT 335, MK. 7, JALAN BUKIT PANCHOR NIBONG TEBAL 14300 PULAU PINANG",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=44409&sid=DA68487C5D2ACB4CBE295F5DA464008D,amdriveperformance@gmail.com,04 - 5931007,
RIHAYS GLOBAL ENTERPRISE,479 LALUAN 14 TAMAN MERU 2A 30020 PERAK,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=84022&sid=A00D58A11403D4CBAD61EFCC2B22C210,syahir.rihaysglobal@gmail.com,012 - 3668594,
ONE-POINT HEALTHLAB SDN BHD,42-2-2A & 42-2-2B JALAN MEDAN PUSAT BANDAR 2B SECTION 9 BANDAR BARU BANGI 43650 SELANGOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=35528&sid=DD882BBEBFAB13EABE339B2CABD19151,rahmahabrahman@ophl.com,03 - 89263755,
SMART FOOD VENTURE NETWORKING SDN BHD,"LOT 11 & 12, KAWASAN PERINDUSTRIAN LUMUT PORT, FASA II, KG ACHEH SITIAWAN 32000 PERAK",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=84149&sid=58376826A4252F49C5E20EEBB72D4839,smartfoodventure@yahoo.com,05 - 6925512,
IKHTIAR BORNEO ENTERPRISE,116 MEDAN 14 TAMAN MEDAN BARU PETALING JAYA 46000 SELANGOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=84169&sid=2D4B6B1E10A99047FF2BFC9EE9A0D41A,ikhtiarborneo@gmail.com,013 - 3353480,
SAN YANG ENTERPRISE SDN BHD,29 JALAN HAJI ABDUL KARIM 53 OFF JALAN SUNGAI JATI 41200 SELANGOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=84154&sid=A2A4A76A9D0D44A8A5EFB50B61D16F5B,boey_lee88@hotmail.my,03 - 33240561,
SOUTHERN CATHAY HOLDING SDN BHD,"26A JALAN SG BESI, BATU 1  57100 KUALA LUMPUR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=84207&sid=539CF3C4BC2B68440E5455637B89DB48,southerncathayholding@gmail.com,03 - 67345767,
SYARIKAT KAMAJU SDN BHD,"65,1ST FLOOR (ROOM B) IRVING ROAD PENANG 10400 PULAU PINANG",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=60076&sid=70EB95E33CA8862E0976588DDAE29D84,syktkmj@gmail.com,04 - 3905798,
KALAKASI SDN BHD,186 G01-G03 FERINGGHI PLAZA 11100 PULAU PINANG,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=84204&sid=0C57B63D59485E191AFBE5D74572A161,oudperfumesmalaysia@gmail.com,04 - 8811419,
SURE GOOD PRODUCTS SDN BHD,"LOT 402A, T12 KG BUKIT DUKUNG JALAN CHERAS 43000 SELANGOR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=84084&sid=32BBF0D438F3903BAB50BF0707EDCF65,mrtempe@hotmail.com,010 - 2413657,
NENASI AQUACULTURE SDN BHD,12-3 JALAN JELATEK 2 JELATEK BUSINESS CENTRE 54200 KUALA LUMPUR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=87002&sid=23FE804002718EA1800CFE52A57649C3,nenasiaqua@gmail.com,03 - 42525015,
FZZIE CONSULTANT & SERVICES,"NO. 35-1, JALAN BUDIMAN 26 TAMAN MULIA, BANDAR TUN RAZAK, CHERAS KUALA LUMPUR 56000 KUALA LUMPUR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=66047&sid=FE60D215DA7DFB858CA97B9EF80BE4B2,fzziecs@yahoo.com,012 - 3755496,
DERUN TRADING SDN BHD,M1 JALAN ML16 ML16 INDUSTRIAL PARK 43300 SELANGOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=87142&sid=2A1647748EB81445B6EC4BEBDFC9D822,zoelow.derun@hotmail.com,03 - 89641833,
NAFE MALAYSIA SDN BHD,"510-A, BATU 3 JALAN IPOH  51200 KUALA LUMPUR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=87256&sid=31E326BCFE81A7775D33EA0F6D99D14B,nafemalaysia@gmail.com,03 - 40507130,
ARICORP SDN BHD,"SUITE 2, JALAN BUNGA KEMUNTING 2/10 SECTION 2 SHAH ALAM 40000 SELANGOR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=6321&sid=0F615379127AF3142839FF38EE59F865,aricorp_58@hotmail.com,03 - 55110824,
SECRET BARN SDN BHD,"LOT C1, KEDAH HALAL PARK KAW PERINDUSTRIAN SG PETANI SG PETANI 08000 KEDAH",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=77828&sid=9115157DE1B38DAABB478AF9A71F4CDA,nadiah@secretbarn.com,04 - 4412859,
SATAY SETIA SENDIRIAN BERHAD,"2ND FLOOR, NO 1599, JALAN KOTA PO BOX 106 ALOR SETAR 05760 KEDAH",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=63605&sid=28A93DDBCC30945FDF739A1407682E9D,sataysetia@yahoo.com,04 - 7309307,
RS RETROFITS SDN BHD,"6487, JALAN AYAM DIDIK 2/2 TAMAN RIA JAYA INDUSTRIAL ESTATE, SUNGAI PETANI 08000 KEDAH",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=62436&sid=BF5E82A622E4D770462D15B7F29C63FF,saktiv@live.com,04 - 4485851,
JHR AQUACULTURE SDN BHD,"LOT G10&G11,1ST FLOOR PERDANA QUAY,TELAGA HARBOUR PARK JALAN PANTAI KOK 07100 KEDAH",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=59994&sid=03EA8E68A82278FBEC80CFF4C667183B,mylene.mace@yahoo.fr,04 - 9561555,
MAHS BUSINESS VENTURES SDN BHD,"LEVEL 15, TOWER 2, ETIQA TWINS NO. 11, JALAN PINANG  50450 KUALA LUMPUR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=87965&sid=DF186DB49FA6C38E2C4BE4D0D7FB8C92,amr@mahs-bv.com,03 - 21669098,
KMC COLDSTORAGE & WAREHOUSING SDN BHD,LOT 206 KAW PERINDUSTRIAN BKT KAYU HITAM BKT KAYU HITAM 06050 KEDAH,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9507&sid=E9F563EBF2A5B4648DE3F0E5C0151493,mail@kmc-coldstorage.com.my,04 - 9222122,
NORSYM SDN BHD,415 KAMPUNG PULAU NYIOR JITRA 06000 KEDAH,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=87337&sid=A2E1246D558165D7B72E2198045A781C,admin@norsym.com.my,04 - 9292539,
DON NGON TRADING SDN BHD,96A LANANG ROAD  96000 SARAWAK,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=77264&sid=67181A7B91D8C9BDD4A09E15C4AD7C31,donngon@outlook.com,084 - 213673,
PERMAI CITRA ENTERPRISE,11 JLN MELATI 1 BANDAR AMANJAYA  08000 KEDAH,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=64300&sid=4F02833F2A70E36AB00A661178EA2084,mrfathee@gmail.com,019 - 7718890,
TODAY BAKERIES PRODUCTS (KLANG) SDN BHD,"114-122, JALAN SUNGAI KERAMAT 3 TAMAN KLANG UTAMA 5TH MILE, OFF JALAN KAPAR, KLANG 42100 SELANGOR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13093&sid=193B43656F32C7B9F3B17183903F2E21,today@today.com.my,03 - 32914843,
GOU WANG FRUITS SDN BHD,"D-5-8, BLOCK D SKYPARK@ONECITY JALAN USJ 25/1, SUBANG JAYA 47650 SELANGOR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=88454&sid=775859E1D895970B4C1BF9A217B39157,dennischonghp@gmail.com,03 - 51150058,
SEE WOO PJ FOOD TRADING,"88 JALAN OTHMAN, SECTION 2 PETALING JAYA 46000 SELANGOR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=88012&sid=0B2AF34D6138E04325CA9F4E9D56738D,seewoopj@live.com,03 - 77722753,
GML OMAN SDN BHD,"158, TINGKAT SATU JALAN BSG 4 BANDAR STARGATE 05450 KEDAH",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=78883&sid=60C715DCFE55C9B3331F36A1DBEB9289,gml.oman@yahoo.com.my,04 - 7713039,
YONG FONG SUCCESS TRADING,3 LORONG BUKIT MINYAK PERMAI 2 TAMAN BUKIT MINYAK PERMAI 14000 PULAU PINANG,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=89902&sid=4B64673AD696C4D976D2F440CB4A1D30,yf.successtrading@gmail.com,018 - 9480060,
RESTORAN AYAM BAKAR WONG SOLO SDN BHD,"30-2, JALAN SERI PUTRA 1/2 BANDAR SERI PUTA BANGI KAJANG 43000 SELANGOR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=89854&sid=8D4E292266A23416FF8A2F61E2DB5AB6,ahs_rejangjati@hotmail.com,03 - 89261004,
EASTBEAM GROUP SDN BHD,36 JALAN JALIL PERKASA 9 TAMAN ESPLANAD 57000 KUALA LUMPUR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=89863&sid=8DE20CEC60BBB348F4F9979889D58436,kenleong.eb@gmail.com,012 - 7334184,
RAHSIA HERBAL SDN BHD,"C-11-4,5 & 6 WISMA GOSHEN PLAZA PANTAI, NO 5 JALAN 4/83A OFF JALAN PANTAI BARU 59200 KUALA LUMPUR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=65438&sid=9C9FC95FBDD45A642BB1FF08684EA8C2,gillian@asiansecrets.my,03 - 22018899,
ZHENG FENG EQUITY SDN BHD,"12, JALAN KAJANG VILLAS 2 S1/3, SECTION 1 KAJANG 2 43000 SELANGOR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=73788&sid=54B6DFEE42DA9E4D5674C7F475AA189F,davidtan93@gmail.com,019 - 2291608,
LAI HIN TRADING SDN BHD,"LOT 4622 BELAKANG SEKOLAH, BAGAN SAMAK BANDAR BAHRU 34950 KEDAH",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=75761&sid=3A86E352AA85EFCE111C56EF72CC609F,laihin_trading @yahoo.com,05 - 7163494,
WIZWORLD MANAGEMENT (M) SDN BHD,11B JALAN NELAYAN 19/A SEKSYEN 19 SHAH ALAM 40300 SELANGOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=69722&sid=399DAF6ACEF57091A7BFFC86DE5528B0,shahrulamin@yahoo.com,03 - 55454919,
