FAILMSG,BIZADD,HREF,CONAME,DATE_SCRAPED,EMAIL,TEL
,C-3-3A-13A PUBLIKA@SOLARIS DUTAMAS NO 1 JALAN DUTAMAS 1  50480 KUALA LUMPUR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=107352&sid=E95EA4BF2BF8004B2DC8B0EF484A0D80,TARGET DIRECTION SDN BHD,'2017-08-02,targetdirection@gmail.com,016 - 03303770
,"22,JALAN MARIKH U5/173, SECTION U5, BANDAR PINGGIRAN SUBANG, SHAH ALAM, 40150 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=5539&sid=67D728704C5FFB898F7263B6B404110B,THINWARE PRODUCTS INDUSTRIES SDN BHD,'2017-08-02,tong@thinware.com,03 - 78457388
,C/O 1596 JALAN MAWAR 16 TAMAN PERMIN JAYA CHENDERING KUALA TERENGGANU 21080 TERENGGANU,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=99916&sid=0426FEC757F4223AB167D9DA10F8BB20,ZUHE GLOBAL RESOURCES,'2017-08-02,zuheglobalresources@gmail.com,09 - 6171596
,"LOT 8, JALAN CJ1/5 KAW PERUSAHAAN CHERAS JAYA BALAKONG 43200 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=31894&sid=D18E728E828DB2E2848F57190538ECCB,SYMBIO TECHNOLOGY (M) SDN BHD,'2017-08-02,hoochuenfatt@gmail.com,03 - 90766298
,"55 JALAN MURNI 4, TAMAN PERINDUSTRIAN MURNI SENAI 81400 JOHOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12906&sid=4651DE22EBA56EAA7D320EA549289D50,MALEX PAPER PRODUCTS SDN BHD,'2017-08-02,wernt@malex.com.my,07 - 5909888
,"LOT PT 153631, JALAN KLEDANG UTARA KAW PERINDUSTRIAN CHANDAN RAYA MENGLEMBU 31450 PERAK",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=86996&sid=81AE957536703FCAB2FB90C7D147D7D7,BEAUTY LABEL & PACKAGING SDN BHD,'2017-08-02,wkfoo@beautylabel.com.my,05 - 2828473
,"L2-05, CHERAS PLAZA, TAMAN SEGAR CHERAS 56000 KUALA LUMPUR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=65093&sid=19163C8F0542C1396E1645237E620C12,PACKTICA SDN BHD,'2017-08-02,sales@packtica.com,03 - 91332288
,11-06 PLAZA 138 JALAN AMPANG  50450 KUALA LUMPUR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=101534&sid=95C9D37B2256B609382E3CBB69F0832E,INTER PERFECTION LOGISTICS SDN BHD,'2017-08-02,iplogsb@gmail.com,03 - 21817825
,"38, JALAN PEMBERITA U1/49 TEMASYA INDUSTRIAL PARK SECTION U1 40150 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=70018&sid=F61B069C199CD8F9522A569DC89436E1,SATO AUTO-ID MALAYSIA SDN BHD,'2017-08-02,sales-sam@sato-global.com,03 - 76208901
,LOT B1 & LOT B2 (2071 & 2073) KAWASAN PERINDUSTRIAN MIEL BATANG KALI  44300 SELANGOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13384&sid=9FF176359D08F8916ABAC27AB85A0F2F,MEDICFOIL PACKAGING SDN BHD,'2017-08-02,kcchpac@yahoo.com,03 - 60570675
,"LOT 3290, PEKAN PAJAM MUKIM SETUL MANTIN 71700 NEGERI SEMBILAN",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=88113&sid=E8581E39CACF57758EE8FFD84AF9EF57,JEJE MANUFACTURING (M) SDN BHD,'2017-08-02,jejemfg@gmail.com,06 - 7999579
,NO 28 JALAN SRI PLENTONG 3 TAMAN PERINDUSTRIAN SRI PLENTONG MASAI 81750 JOHOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=101423&sid=9BD5C4634B2DE45B527250617D3D3DFD,JDS HEATING SOLUTIONS SDN. BHD.,'2017-08-02,jerry@jdsheating.com,012 - 7796123
,PLOT 22 LOT PT 51680 KAWASAN PERINDUSTRIAN TAMAN MERU JELAPANG IPOH 30020 PERAK,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=53451&sid=9BAC1DCFC5F7F8A2A62200BEA7A5331D,TEO MAH POH PLASTIC INDUSTRY,'2017-08-02,enquiry@teomahpoh.com,05 - 5263270
,"SHOP 2, BLOCK A, PANGSAPURI SERI PINANG JALAN BS 3/1, TAMAN BUKIT SERDANG, SEKYEN 1 SERI KEMBANGAN 43300 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=70019&sid=9D163C8E1984090016E0DB5AC53BA5B3,PRINTMY SDN BHD,'2017-08-02,admin@printmy.my,03 - 95477999
,"135, 34TH MILE JALAN JOHOR PONTIAN 82000 JOHOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=4095&sid=152848F9C0EE0CD0CD471D696539787B,NCI INDUSTRIES SDN BHD,'2017-08-02,nci_ind@yahoo.com,07 - 6871466
,WISMA FEDERAL MALAY HOLDINGS NO 10 PERSIARAN 65C PEKELILING BUSINESS CENTRE JALAN PAHANG BARAT 53000 KUALA LUMPUR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93610&sid=C0992E624ECCFE4DABEAEA69F6153586,FM PLASTIC INDUSTRIES SDN BHD,'2017-08-02,federalmalay@gmail.com,03 - 40221010
,8042 KAWASAN PERINDUSTRIAN KG TELUK SUNGAI DUA BUTTERWORTH 13800 PULAU PINANG,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=107153&sid=D9E4EB890C1669B750DCE9FC3D6B2453,SOUTHERN PLASTIC PRODUCTS SDN BHD,'2017-08-02,sppsb@hotmail.com,04 - 3561009
,"15, MEZZANINE FLOOR, LORONG BRUNEI TIGA OFF JALAN PUDU  55100 KUALA LUMPUR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11014&sid=099C9536EE50904498B4DF0B61E7DE95,LABELS SPECIALIST INDUSTRIES SDN BHD,'2017-08-02,sales.office@labelsi.com.my,03 - 21414755
,NO.611 JLN 22 TMN PERINDUSTRIAN EHSAN JAYA KEPONG 52100 KUALA LUMPUR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11322&sid=04EDF69C154FE18992DD0D0FC0417197,SUPER LABELS INDUSTRIES SDN BHD,'2017-08-02,ck.chang@mcclabel.com,03 - 62772000
,"A-12-11, TOWER A, COMPLEX ATRIA DAMANSARA, JALAN SS22/23, DAMANSARA JAYA, PETALING JAYA 47400 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=85247&sid=DDCE6F7299C6127BE12162C802A53F2D,AUZTON VENTURES,'2017-08-02,contact@auzton.com,03 - 77326383
,"2 & 4, HICOM INDUSTRIAL ESTATE JALAN SEKINCAN, SEKSYEN 26/9 SHAH ALAM 40000 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=3639&sid=6C39C963A1B246C4EA5500B972917C3D,BRIDGESTONE ARMSTRONG (M) SDN BHD,'2017-08-02,azlan@bschem.com.my,03 - 51912188
,"23, JALAN 6/3 SEKSYEN 6 BANDAR RINCHING , SEMENYIH 43500 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=78230&sid=AFBC1AEDC6F9960BFFF50EE48700EE05,MMKGLO (M) SDN BHD,'2017-08-02,mohan.mmkglo@gmail.com,011 - 12482701
,"LOT 77 & 28, PERSIARAN 11 KAW PERUSAHAAN BAKAR ARANG SG PETANI 08000 KEDAH",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8387&sid=D361E714F6B44B8B6FA8DC72C06ED22C,CENTRAL INDUSTRIAL CORPORATION BERHAD,'2017-08-02,export@cicm.com.my,04 - 4227888
,"46, LORONG IKS, BKT TENGAH TMN IKS, BKT TENGAH BKT MERTAJAM 14000 PULAU PINANG",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15826&sid=901A4A152396703A7CF1F39217867808,DSP INDUSTRY SDN BHD,'2017-08-02,dsppg@dspindustry.com,04 - 5084966
,NO 14 LORONG SANGGUL 1B BANDAR PUTERI KLANG KLANG 41200 SELANGOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=96527&sid=114D73A6BA2CE14517873BFBB5E2E7A0,TIEN LIK CAP SEAL SDN BHD,'2017-08-02,TIENLIKCS@GMAIL.COM,03 - 51621143
,"LOT 6442, LORONG AYAM DIDIK 3 KAW PERINDUSTRIAN RINGAN, TAMAN RIA JAYA SUNGAI PETANI 08000 KEDAH",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11593&sid=A23F0DCA04B0381BB4D69370A24B2490,COMPACCO TECHNOLOGIES (M) SDN BHD,'2017-08-02,sales@compacco.com,04 - 4483126
,"NO.5 JLN SU 8 TMN PERINDUSTRIAN SUBANG UTAMA SECTION 22, SHAH ALAM 40000 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15884&sid=77B7C78DFFBBB999FD18141587A47532,DANSONPACK SDN BHD,'2017-08-02,dsp@dansonpack.com,03 - 51928999
,"16, LENGKOK RISHAH 1 SILIBIN INDUSTRIAL ESTATE IPOH 30100 PERAK",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9912&sid=4AEE84BFC73BB81678054C9E26584007,EVERWIN PLASTIC SDN BHD,'2017-08-02,info@everwinplastic.com,05 - 5275691
,"160, JALAN MURNI 12 TAMAN PERINDUSTRIAN MURNI SENAI 81400 JOHOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=86128&sid=490BC22F06B1CA6EB8B532EA861BBB47,HIROYUKI INDUSTRIES (M) SDN BHD,'2017-08-02,finance@hiroyuki-ind.com.my,07 - 5985211
,NO 3 JALAN TS 6/8 TAMAN SUBANG LIGHT INDUSTRIAL PARK PETALING JAYA 47510 SELANGOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=96449&sid=61D28CDA9F87605680F07848B3A9117D,CAWIN HOLOGRAPHIC SDN BHD,'2017-08-02,kathycheah@cawin.com,03 - 56341080
,"11 & 11A, LORONG NAGASARI 2 TAMAN NAGASARI PRAI, S.PERAI 13600 PULAU PINANG",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=3055&sid=1F2A2E093A4D4071C44B85797EC5F7FC,A. WANER PLASTIC MANUFACTURING (M) SDN BHD,'2017-08-02,awanerpg@gmail.com,04 - 3903026
,"11, TINGKAT PERUSAHAAN UTAMA 1, TMN PERINDUSTRIAN BUKIT TENGAH, SEBERANG PERAI TENGAH, BUKIT MERTAJAM. 14400 PULAU PINANG",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=4907&sid=F7A19B0E3811A42EBDABAB5773CB5568,PRINTOUT PACKAGING SDN BHD,'2017-08-02,mildred_printoutpackaging@live.com,04 - 5076363
,10 JALAN PUTERI 5/5 BANDAR PUTERI  47100 SELANGOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=96932&sid=D88CAF3FF314D59F3F859697FAA3888D,PALM ECO PALLET SDN BHD,'2017-08-02,palmecopallet@gmail.com,03 - 80527299
,30 JLN INDUSRI MAS 9 TAMAN MAS 47100 SELANGOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=77274&sid=FCA2C417E5F2E4F06C2EA8AA770411A1,BOW TAPE INDUSTRIES (M) SDN BHD,'2017-08-02,enquiry@bowtape.com.my,03 - 80681970
,LOT 4842 BALAKONG NEW VILLAGE SERI KEMBANGAN 43300 SELANGOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8170&sid=D861F35A999F73223DFAD2A7F321E70A,U-LIK (M) SDN BHD,'2017-08-02,export@u-lik.com.my,03 - 89611149
,274 JALAN GURDWARA GEORGETOWN  10300 PULAU PINANG,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=96949&sid=7569F33C72347F9F4D39FB993E358642,PENG KEE ENTERPRISE SDN BHD,'2017-08-02,pengkeeent@gmail.com,04 - 2613511
,PLO 226 JALAN KENCANA MAS KAWASAN PERINDUSTRIAN TEBRAU III 81100 JOHOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94254&sid=F49F397A692A129F6236C9BF7E3AA6C1,TOYO SHO INDUSTRIAL PRODUCTS SDN BHD,'2017-08-02,goh@toyosho.com,07 - 3512020
,62 JALAN BSC 2B/2 BANDAR SRI COALFIELD SUNGAI BULOH 47000 SELANGOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=97329&sid=E7521D91F122D92E64F53106BA24EEBF,FORESTOW PACKAGING ENTERPRISE,'2017-08-02,forestow.my@gmail.com,018 - 9831668
,"LOT 3, LORONG 2/1, SOLOK HISHAMUDDIN 1 KAWASAN PERUSAHAAN SELAT KLANG UTARA KLANG 42000 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=30379&sid=54EA53E31D686E46E8A2A98BBF80C03B,PIPECO TANKS MALAYSIA SDN BHD,'2017-08-02,pipeco@pipeco.com.my,03 - 31763318
,"22A-1,JALAN PUTERI 5/5 BANDAR PUTERI PUCHONG 47100 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=53257&sid=C6E8C970B48DC2866CBE2D2DE1988AB0,BIOCOSLAB MANUFACTURING SDN BHD,'2017-08-02,janetskinrenew@yahoo.com,03 - 80628011
,NO 21 JALAN 2/118B DESA TUN RAZAK 56000 KUALA LUMPUR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=97809&sid=8D3060C83782930C128FA0C30A56EBF0,VYTRA INDUSTRIES SDN BHD,'2017-08-02,vytraindustries@yahoo.com,03 - 91736113
,WISMA FEDERAL MALAY HOLDINGS NO 10 PERSIARAN 65C PEKELILING BUSINESS CENTRE JALAN PAHANG BARAT 53000 KUALA LUMPUR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=99671&sid=FF80595B68216A7866C5CCFAA743BFD2,FEDERAL MALAY HOLDINGS SDN BHD,'2017-08-02,federalmalayholdings@gmail.com,03 - 40221010
,"11, JALAN TU 51A TAMAN TASIK UTAMA AYER KEROH 75450 MELAKA",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13134&sid=F26BB33F30E6868087C575A02937157F,PACKERMAN SDN BHD,'2017-08-02,hq-team@packerman.com.my,06 - 2318888
,"LOTS 5078 & 5079, JALAN. JENJAROM 28/39, SECTION 28 SHAH ALAM 40000 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=3402&sid=DBD859BDDCC8A82315BB0FDC10D35203,SAN MIGUEL YAMAMURA PACKAGING AND PRINTING SDN BHD,'2017-08-02,davidgan@smppc.com,03 - 51916588
,"31, JALAN 17/45 PETALING JAYA  46400 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=4151&sid=53F0C6853C3CDA63252A87C0A7DBD2C4,BRIBEN RESOURCES SDN BHD,'2017-08-02,bribenresources@gmail.com,03 - 79578819
,NO 43 JALAN TS 6/1 TAMAN INDUSTRI SUBANG  47510 SELANGOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=105823&sid=EDFB1144A5C2B0709FDBD4E2FBA9F8DB,MG GREEN TECH SDN BHD,'2017-08-02,info@mggreen.my,012 - 3555615
,LOT PT 14272 SOLOK PERUSAHAAN 28 OFF JLN KG IDAMAN PANDAMARAN PELABUHAN KLANG 42000 SELANGOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=103348&sid=C89C6967C3B67A6846CDB893A4EC89C0,BIOMIDORI INSPIRATION SDN BHD,'2017-08-02,biomidori@gmail.com,03 - 31630610
,"11A, JALAN 6/2A TAMAN SELESA JAYA BALAKONG 43300 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=7473&sid=1BE8F81330A309C6E948D971D9DBF7F0,INTEGRATED FORMWAY SDN BHD,'2017-08-02,integratedformway@gmail.com,03 - 89614267
,"LOT 27, LORONG MANGGA 2, BDC MILEK PERKASA ,P.O. BOX 10363 88803 SABAH",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=3144&sid=AC379E4678F8B146FE9545316EA7F1FC,LIKAS RESOURCES SDN  BHD,'2017-08-02,csi@racks.com.my,088 - 387777
,5 JALAN 31/10A TAMAN PERINDUSTRIAN IKS MUKIM BATU 68100 KUALA LUMPUR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=41371&sid=BA6A3E55A0B1CA373762934C70A28C70,MUBIPLAS INDUSTRIES SDN BHD,'2017-08-02,mubiplas@yahoo.com,03 - 61855103
,47 JLN TIAJ 2/1 TAMAN INDUSTRI ALAM JAYA BANDAR PUNCAK ALAM 42300 SELANGOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10304&sid=E2EE4BD751685B21A1CBA2E5438240DF,PROGRESSIVE FOAM INDUSTRIES SDN BHD,'2017-08-02,progressivefoam@gmail.com,03 - 60382286
,"NO.37, JALAN SEMENYIH INTEGRATED 3, SEMENYIH INTEGRATED INDUSTRIAL PARK, 43500 SEMENYIH, SELANGOR, MALAYSIA 43500 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=69143&sid=CAAD0A81AED114E0A824BB0E18381116,TOPSIFU (M) SDN BHD,'2017-08-02,topsifu@gmail.com,03 - 87277698
,"47A & B LORONG RAHIM KAJAI 13, TAMAN TUN DR ISMAIL 60000 KUALA LUMPUR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=6384&sid=3B63E32D47DEEE70B1728A3EDFA53AD4,SHEERFLEX INDUSTRIES SDN  BHD,'2017-08-02,tomasloi@yahoo.com,03 - 77274433
,"7, JALAN BAYU 3 BANDAR SERI ALAM MASAI 81750 JOHOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=86115&sid=EE4FC8F81B491ED518927BD0F44ECDB5,SYSPEX TECHNOLOGIES (M) SDN BHD,'2017-08-02,csmy@yellowbox.com,07 - 3888488
,"NO.15-17, JALAN P6/2, SECTION 6 BANDAR TEKNOLOGI KAJANG SEMENYIH 43500 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=3746&sid=14ECDF0AFE431ACEC5AB95C00B9E815E,POLYWORLD SDN BHD,'2017-08-02,alexleong@polyworld.com.my,03 - 87242933
,"LOT C 10/46, LORONG PERUSAHAAN 6C KAW MIEL, KULIM PHASE II KULIM 09000 KEDAH",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=6088&sid=6E448A420FCCA33B737B146CB7BB7911,E.U. CONNECTOR (M) SDN BHD,'2017-08-02,erwanoon@eucord.com.my,04 - 4891505
,"3, JALAN BS7/1 TAMAN BUKIT SERDANG SECTION 7, SERI KEMBANGAN 43300 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=86114&sid=132234C47CE4C2C25C6606B4BE1AB453,SUN PAPER BAGS SDN BHD,'2017-08-02,info@sunpaperbags.com.my,03 - 89455488
,"2, LORONG PERUSAHAAN SUNGAI LOKAN 4 KAW PERUSAHAAN SUNGAI LOKAN BUTTERWORTH 13800 PULAU PINANG",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=80672&sid=6B082348C67DC4992318244FD4367001,JADRAY SDN BHD,'2017-08-02,sales@jadray.com,04 - 3566117
,"2, JALAN KASUARINA 8/KS07 BANDAR BOTANIC KLANG 41200 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=35068&sid=9BEE5422579850B3C570FBBD45E3CC5E,INFINITY LOGISTICS & TRANSPORT SDN BHD,'2017-08-02,jamesku@infinity.com.my,03 - 33252926
,LOT 1-10 JALAN PERINDUSTRIAN MAHKOTA UTAMA KAWASAN PERINDUSTRIAN MAHKOTA BERANANG 43700 SELANGOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=100444&sid=0D6D07A837AC3BB7AF8A216768FEB991,GTG MANUFACTURING SDN BHD,'2017-08-02,INFO@GTGGROUP.COM.MY,03 - 87247168
,LOT 248 FASA 4B KAW PERINDUSTRIAN BUKIT RAMBAI 75250 MELAKA,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=60896&sid=71537CB189ECFFEFBB343C90DC7BDE1A,TELIC PAPER SDN BHD,'2017-08-02,colinchin@telicpaper.com,06 - 3516666
,"LOT 9, JALAN PERUSAHAAN 2 BERANANG INDUSTRIAL ZONE BERANANG 43700 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8166&sid=E5DF50601D572D188D072D458C3DF1FA,SYARIKAT METAL INDUSTRIES OF MALAYSIA SDN BHD,'2017-08-02,fizrai@smim.com.my,03 - 87667099
,"LOT 60819, TAMAN MERU IND. ESTATE PHASE 3A, JALAN JELAPANG IPOH 30020 PERAK",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12586&sid=0D0B00587D3194B7D0F482AD9598EA11,SIDNEY INDUSTRIES SDN BHD,'2017-08-02,kelvin@sidney.com.my,05 - 5268826
,"9 & 11, PERSIARAN PERINDUSTRIAN SILIBIN 1 KAW PERINDUSTRIAN RINGAN SILIBIN IPOH 30100 PERAK",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=6817&sid=9AF4F48B693E2D736EE71152EF451B75,TOP TEN PLASTICS INDUSTRIES SDN BHD,'2017-08-02,info@toptenplastics.com,05 - 5272888
,"LOT 1812, BKT BELIMBING JALAN BALAKONG SERI KEMBANGAN 43300 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11324&sid=7A0D17C56EBDDF7E63DEFAF0325FF18B,SWEET TAPE ENTERPRISE (M) SDN BHD,'2017-08-02,nicole.loh@sbgroup.com.my,03 - 89463735
,LOT B3 KAWASAN PERINDUSTRIAN MIEL PHASE II BATANG KALI 44300 SELANGOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=96445&sid=38934C25FB2B968373DA95CBBD655A66,DHAFINA FOILS SDN BHD,'2017-08-02,dhafinafoils@gmail.com,03 - 60922878
,"C-3-19, JALAN 2/142A MEGAN PHOENIX CHERAS 56100 KUALA LUMPUR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=36418&sid=85C9A8F6F664618771D5D5AEC16AB45E,RIBBON IDEAS SDN BHD,'2017-08-02,ckkoo@ribbonideas.com,03 - 91001384
,"15-2, JALAN USJ 9/5Q SUBANG BUSINESS CENTRE UEP SUBANG JAYA 47620 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=89613&sid=042526E45443F10AE089243D9913C2BD,LIAN HUP PACKAGING INDUSTRIES SDN BHD,'2017-08-02,sales_lhp@lht.com.sg,03 - 80242681
,NO 69 JALAN PBS 14/3 TAMAN PERINDUSTRIAN BUKIT SERDANG SERI KEMBANGAN 43300 SELANGOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=92534&sid=1EB0B04A00D2201D2DC3CD59560F7389,GOLDMAS PRINT SDN. BHD.,'2017-08-02,info@angpow.my,03 - 89406627
,"2211, JALAN PERMATANG KLING NIBONG TEBAL SEBERANG PRAI SELATAN 14300 PULAU PINANG",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=89927&sid=D4CE5051AF9AED7F2D3206506F1CF567,EPPOR-PACK SDN BHD,'2017-08-02,tnyong@epporpack.com,05 - 7161697
,"LOT 2208 JALAN KHAMIS MERU, KLANG  41050 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=95863&sid=F25011406EA3D1B5559605C63BB37362,PS POLY PACK SDN BHD,'2017-08-02,mai@pspoly.com.my,03 - 33927500
,"35, JALAN SERULING 58 TAMAN KLANG JAYA KLANG 41200 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11091&sid=34F4F856B095E9E5A473C2945E4D57C7,PAPERCON PACKAGING (M) SDN BHD,'2017-08-02,papercon_packaging@yahoo.com,03 - 33235011
,"700-D JALAN PBR 38, KAWASAN PERINDUSTRIAN BUKIT RAMBAI 75250 MELAKA",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=60035&sid=E6631DD4618B4199223C3788C5446769,ECO PAPER PRODUCTS MANUFACTURING SDN BHD,'2017-08-02,admin@eppmfg.com.my,06 - 3531231
,NO21 JALAN ANGGERIK LIPARIS 31/146 KOTA KEMUNING SHAH ALAM 40460 SELANGOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=101906&sid=5CFE1E182B923AA5312F10A4FAB9E979,MANDALA EXPORTS,'2017-08-02,mandalaexpo60@gmail.com,012 - 4058040
,LOT 1716 JALAN RUKUN  45620 SELANGOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=78896&sid=2EC89FCAAEE8F61E6C478BAEB54256C5,OCEANPLAST (M) SDN BHD,'2017-08-02,oceanplast@yahoo.com,03 - 32793118
,PLOT 125 JALAN INDUSTRI 10 KAW PERINDUSTRIAN ALOR GAJAH 78000 MELAKA,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13138&sid=98AEE820E9EADE3D8FA2DAA315406A50,LIPTA PLASTIC INDUSTRIES SDN BHD,'2017-08-02,JiaShyan.Tsu@Lipta.com.my,06 - 5561088
,"987, JALAN PERAHAAN KAW PERUSAHAAN PERAI 13600 PULAU PINANG",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=81437&sid=AE3AD47C9689C04A16B649BFA83A4793,MULTI CHOICE (M) SDN BHD,'2017-08-02,hucktan@mcm2u.com,04 - 3973678
,11 JALAN PJS 11/28-B BANDAR SUNWAY PETALING JAYA 46150 SELANGOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9857&sid=285C3C5FB3C8B8ED44F9F4EBEFAA1158,RALCO PLASTIC SDN BHD,'2017-08-02,billyvoon@ralco.net,06 - 7971999
,"LOT 4788 & 4789, JALAN TTC 29 TAMAN TEKNOLOGI CHENG  75260 MELAKA",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10965&sid=BBA8CB808A2859B1E6726C47BCAB76E7,HEXACHASE PACKAGING SDN BHD,'2017-08-02,dericsim@hexachase.com,06 - 3371201
,"PT 27773, JALAN NILAM 3 NILAI UTAMA NILAI 71800 NEGERI SEMBILAN",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10676&sid=6E161ED74A9D8FC86FC7ABDB2B288F0C,SCHUTZ DSL (MALAYSIA) SDN BHD,'2017-08-02,hr.malaysia@schuetz.net,06 - 7980899
