BIZADD,EMAIL,DATE_SCRAPED,CONAME,FAILMSG,TEL,HREF 
"10 &12, JALAN SEROJA 44 TAMAN JOHOR JAYA  81100 JOHOR",cpcho@majorharvest.com.my,'2017-08-02,MAJOR HARVEST SDN BHD,,07 - 3553872,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=6319&sid=0FC3854EAAE243C4572A3CADF8EF2712
15-2 JALAN 1/8B BANDAR DAMAI PERDANA 56100 KUALA LUMPUR,shafa@momsb.com.my,'2017-08-02,MOMINNOVATION SDN BHD,,03 - 91003900,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=82764&sid=5B8BD80F258EEEAEBBAEB9C6BDDB814C
LOT 2489-10 BATU 6 1/4 JALAN GOMBAK  53100 KUALA LUMPUR,nisa@tfssb.com,'2017-08-02,GLAMOUR DISCOVERY SDN BHD,,03 - 61811100,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=82020&sid=4BD059AB9BBD07CC9E2FDA543D50291E
17 JALAN WAWASAN 14 KAW PERINDUSTRIAN SRI GADING II BATU PAHAT 83300 JOHOR,chunhoe.export@gmail.com,'2017-08-02,CHUN HOE TRADING SDN BHD,,07 - 4558088,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=37864&sid=CE1AE269DDD6F0C011ABF9162A991070
"9, JALAN BELATI 2 KAWASAN PERINDUSTRIAN MAJU JAYA JOHOR BAHRU 81300 JOHOR",ryan@rongmah.com.my,'2017-08-02,RM WIRE INDUSTRIES SDN BHD,,07 - 5576078,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=7908&sid=98DE029585128913356DDEB2890D7699
66A JALAN BAYU TINGGI 6 TAMAN BAYU TINGGI KLANG 41200 SELANGOR,tconsultancy2212@yahoo.com,'2017-08-02,DEMANLINK RESOURCES SDN BHD,,03 - 33259030,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=83860&sid=FEF2A2708862A14E7FCD7729FE746201
"41, JALAN PUTRA PERMAI 1A TAMAN EQUINE  43300 SELANGOR",mimi@cryogas.com.my,'2017-08-02,CRYOGAS TECH SDN BHD,,03 - 89482350,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=43732&sid=8D0C5B8DFB95EC88344E916C85A3A74E
B-13-3 MENARA DUTA 2 JALAN DUTAMAS RAYA 51200 KUALA LUMPUR,jan-e@spoton.com.my,'2017-08-02,SPOT ON ADVERTISING & SERVICES,,012 - 9791252,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=87006&sid=AC0092271C8EBE745E662A0C612EC426
"510-A, BATU 3 JALAN IPOH  51200 KUALA LUMPUR",nafemalaysia@gmail.com,'2017-08-02,NAFE MALAYSIA SDN BHD,,03 - 40507130,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=87256&sid=31E326BCFE81A7775D33EA0F6D99D14B
"NO.  3, JALAN DESA BAHAGIA TAMAN DESA  58100 KUALA LUMPUR",ostable@hotmail.com,'2017-08-02,O-STABLE PANEL SDN BHD,,03 - 79829711,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=4937&sid=75210895A00CF3E8B4BB6455B0BCB9DC
"WISMA PPK LOT 2354, JALAN SUNGAI PUTAT BATU BERENDAM 75350 MELAKA",info@ppktechnology.com,'2017-08-02,PPK TECHNOLOGY SDN BHD,,06 - 3176828,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=3226&sid=E92061511992F54DBEBD2A1EDC249D6B
21-1 JALAN BULAN NU 5/N BANDAR PINGGIRAN SUBANG SECTION U5 SHAH ALAM 40150 SELANGOR,viworldmrktg@gmail.com,'2017-08-02,VI-WORLD MARKETING SDN BHD,,03 - 78476019,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=39006&sid=B9ACDC8ECB256C968D6B1DF694685CE7
139-1 JALAN RIMBUNAN RAYA 1 LAMAN RIMBUNAN KEPONG 52100 KUALA LUMPUR,jingder@gmail.com,'2017-08-02,RP PARKING AND LIGHTING SDN BHD,,03 - 62595344,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=68720&sid=B3A929077E64A2690E8B264F1BBD3B15
"NO.28-1, JALAN MELAKA RAYA 28 TAMAN MELAKA RAYA  75000 MELAKA",maz@evgroup.com.my,'2017-08-02,E.V. OILFIELD SUPPLY & SERVICES SDN BHD,,06 - 2868418,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11864&sid=FBE27C390A0CEA9D95A92E265D4B825D
502 BOCK A 5TH FLOOR KELANA BUSINESS CENTRE 47301 SELANGOR,sales@ntlock.com,'2017-08-02,NT ARCHITECTURAL HARDWARE (M) SDN BHD,,03 - 78808732,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=78867&sid=5054ECFD36A2FD0599AB52553C5B371E
NO. K69 JALAN PERINDUSTRIAN 6 TG. AGAS INDUSTRIAL ESTATE LEDANG 84000 JOHOR,dpi@dpimalaysia.com,'2017-08-02,DPI SDN BHD,,06 - 9522854,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=60444&sid=C6515440DF9E6E4349BC849BCF18B463
"SUBLOT 5/6539, BATU 6 JALAN BUKIT KEMUNING SECTION 34 SHAH ALAM 40470 SELANGOR",weiling@arraymetal.com,'2017-08-02,ARRAY METAL (M) SDN BERHAD,,03 - 51201310,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=85737&sid=A6E43C612015749B3865953C5F7FE185
"LOT 1831, JALAN BALAKONG BUKIT BELIMBING SERI KEMBANGAN 43300 SELANGOR",jackson@qaccess-scaffolds.com,'2017-08-02,PMB QUICK ACCESS SDN BHD,,03 - 89618686,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=34004&sid=93BDF455FAC48313FB1B4A21C74C2B88
"26, JALAN BUKIT 8, KAW MIEL BANDAR SERI ALAM PHASE IV MASAI, JOHOR 81750 JOHOR",averasia.gst@gmail.com,'2017-08-02,AVER ASIA SDN BHD,,016 - 3307328,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=81359&sid=F768273289CE2DEC5A149B15A087CE7C
"73, LALUAN INDUSTRI 4 KAW PERINDUSTRIAN SG SIPUT (N) 31100 PERAK",slpdor@yahoo.com,'2017-08-02,SLP INDUSTRIES SDN BHD,,05 - 5981015,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13191&sid=9C67C52E9B7690F3F9CFFEF508A60BCD
"NO. 2 JALAN TPP 5/17 TAMAN PERINDUSTRIAN PUCHONG SECTION 5, PUCHONG 47160 SELANGOR",maxong@pc.jaring.my,'2017-08-02,NORIMAX SDN BHD,,03 - 80602334,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=33306&sid=859C186C3B8353CCE110B424AA0269E9
"19A-26-1, 26TH FLOOR BUSINESS SUITE, UOA CENTRE 19, JALAN PINANG 50450 KUALA LUMPUR",cswong@aspacsteel.com,'2017-08-02,ASPAC ALLIANCE STEELS SDN BHD,,03 - 21663113,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11445&sid=966FEA2894F221C42076E46F7BD38AAA
LOT 17224 JALAN HARUAN 6 OAKLAND INDUSTRIAL PARK 70300 NEGERI SEMBILAN,patrick@yuenfee.com,'2017-08-02,YUEN FEE (WAN SOON) ENGINEERING SDN BHD,,06 - 7646260,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=73127&sid=DC5E4499DAF2601802DBEF72A2C079C5
NO 1 LATITUDE JALAN SUBANG 7 TAMAN PERINDUSTRIAN SUBANG USJ 1 47500 SELANGOR,kelvinboo@excelfloor.com.my,'2017-08-02,EXCEL FLOOR SDN BHD,,03 - 80816012,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=78056&sid=B60CDBEBD6A98A8444C92B2B16EE5FED
"LOT 39, 16.5 MILES JALAN IPOH, RAWANG INDUSTRIAL ESTATE RAWANG 48000 SELANGOR",info@prestar.com.my,'2017-08-02,PRESTAR MANUFACTURING SDN BHD,,03 - 60913288,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11797&sid=13D3FDB1696F58C9CB3ECD9FEEDEC850
"16-1 JALAN JALIL JAYA 6 BLOCK 5, JALIL LINK, BUKIT JALIL 57000 KUALA LUMPUR",heng@smartcoat.com.my,'2017-08-02,TITANIUM WORLD TECHNOLOGY SDN BHD,,03 - 89939762,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=81454&sid=A6684385D6859C4080345A44526F77D1
"LOT 17494, 8 1/2 MILES JALAN IPOH, SELAYANG INDUSTRIAL ESTATE BATU CAVES 68100 SELANGOR",info@prestar.com.my,'2017-08-02,PRESTAR MARKETING SDN BHD,,03 - 61380033,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=6408&sid=78B1451BCCFA8EDA7381B312630F855E
PLO 132 JALAN ANGKASA MAS UTAMA KAW PERINDUSTRIAN TEBRAU II JOHOR BAHRU 81100 JOHOR,salesdiv@lcgjapmas.com,'2017-08-02,LEE CHUAN GUAN STEEL SDN BHD,,07 - 3537312,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=81590&sid=1779E56FC71479D01BF6D397A3FE79AF
NO.48C JLN PASAR KLANG  41400 SELANGOR,dannyoh@shinano-co.com,'2017-08-02,SHINANO CORPORATION SDN BHD,,03 - 33412000,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9233&sid=2A13D74333F80D85BF152E028636116D
"77 & 77A, JALAN RUKUN 4 OFF JALAN KUCHAI LAMA TAMAN GEMBIRA 58200 KUALA LUMPUR",wthose@gmail.com,'2017-08-02,WT HOSE & COUPLING SDN BHD,,03 - 79833877,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=81693&sid=3694E338505EB254BE0067608D828B33
K 9618 TMN CUKAI UTAMA JLN KUBANG KURUS KEMAMAN 24000 TERENGGANU,zulmys@mysl.com.my,'2017-08-02,MYS LOGISTIC SDN BHD,,09 - 8593767,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=4357&sid=E4520774696328E28FBC87EA74E85C1B
22-1 JALAN DWITASIK DATARAN TASIK BANDAR SRI PERMAISURI 56000 KUALA LUMPUR,sales@ctsb.my,'2017-08-02,CLEAN TECHNIQUE SDN BHD,,03 - 92265541,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=85648&sid=FA408901666EC1ABD14B0AB715093306
"1139, LORONG PERINDUSTRIAN BUKIT MINYAK 11 TAMAN PERINDUSTRIAN BUKIT MINYAK SIMPANG AMPAT 14100 PULAU PINANG",enquiry@foil-laminate.com,'2017-08-02,FOIL LAMINATE INDUSTRIES SDN BHD,,04 - 5011999,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10926&sid=C635F785717C1191482B1500E118095C
"AL8-3, JALAN KAMPUNG KAMPUNG BARU SG. BULOH SUNGAI BULOH 47000 SELANGOR",lim9442@gmail.com,'2017-08-02,I-WEALTH INDUSTRIES SDN BHD,,03 - 61433231,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=85639&sid=E62FC52B23A1C36C751775D516FCA113
"NO. 51 JALAN NIP 2/6, KAWASAN PERINDUSTRIAN NUSA JAYA JOHOR BAHRU 81550 JOHOR",contact@excel-safety.com,'2017-08-02,EXCEL SAFETY SDN BHD,,07 - 5090066,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=85741&sid=687EE14F928728322122B2FF6E239812
"NO.3, JALAN DAMAI PERDANA 6/1 F BANDAR DAMAI PERDANA CHERAS 56000 SELANGOR",exports.phomi@yahoo.com,'2017-08-02,MCM ECO CLAY SDN BHD,,03 - 91023688,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=78236&sid=B7866D22591B0836495294ECD3DC5493
"LOT 6672, JALAN DATO' MOHD SIDIN CONNAUGHT BRIDGE KG. JAWA, KLANG 41000 SELANGOR",psconstructionbiz@gmail.com,'2017-08-02,GOLDEN SHARP SDN BHD,,017 - 3886631,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=85752&sid=BD1945703B7AC66B681014C45BCB3C51
36-U JALAN BUKIT KECIL KUALA TERENGGANU 21100 TERENGGANU,ewhtsb@gmail.com,'2017-08-02,E.W. HARDWARE TRADING SDN BHD,,09 - 6223762,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=85673&sid=3D26C7D748735971CEB4BD78015BBCD9
73A JALAN BPU 2 BANDAR PUCHONG UTAMA PUCHONG 47100 SELANGOR,enquiry@zelasko.com.my,'2017-08-02,PROSOURCE SDN BHD,,03 - 58911453,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=85913&sid=112BE1508625C69BF64125A9C9208A52
"K-9642, TINGKAT ATAS, JALAN KUBANG KURUS, TAMAN CUKAI UTAMA, CUKAI, KEMAMAN, 24000 TERENGGANU",evasoowfc@gmail.com,'2017-08-02,SB GLOBAL CONNECTION SDN BHD,,09 - 8585588,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=86026&sid=724A543E645F0634CEAF5DA5D26E6D3B
3B JALAN BAYU TINGGI 2 BATU UNJUR 41200 SELANGOR,vintagetrade.sdn.bhd@gmail.com,'2017-08-02,VINTAGE TRADE SDN BHD,,03 - 33257030,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=65205&sid=B4CF3A3C2C3ABDA8E700054676A5CAD4
"P-03-12 IMPIAN MERIDIAN, JALAN SUBANG 1, USJ 1 SUBANG JAYA 47600 SELANGOR",sg_acc@shinoegroup.com,'2017-08-02,SHINOE TECH SDN BHD,,03 - 80217155,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=85909&sid=6355956BEE8BC96C5E1EC015D0387744
"108-1, JALAN MEGA MENDUNG KOMPLEKS BANDAR, BATU 5 JALAN KELANG LAMA 58200 KUALA LUMPUR",flt.engineering@gmail.com,'2017-08-02,FLT ENGINEERING SDN BHD,,03 - 79800907,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=86082&sid=9DA719772324C4EA7CF6EF367D4EE0E6
10 JALAN TELAWI 6 BANGSAR BARU 59100 KUALA LUMPUR,amazon@floorplace.com.my,'2017-08-02,FLOOR PLACE SDN BHD,,03 - 22829005,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=79246&sid=12D2CB787B3DFAC8F390690A6D549399
18 JALAN LP 2A/2 TAMAN LESTARI PERDANA 43300 SERI KEMBANGAN 43300 SELANGOR,erictan@targetprecast.com,'2017-08-02,TARGET PRECAST INDUSTRIES SDN BHD,,03 - 89441388,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=86110&sid=476A8F374E37FE70793E5A1E7B43D00A
"873, JALAN PERINDUSTRIAN BUKIT MINYAK MK.13, KAW PERINDUSTRIAN BUKIT MINYAK BUKIT MERTAJAM 14000 PULAU PINANG",kamen@kamensteel.com.my,'2017-08-02,KAMEN STEEL INDUSTRIES SDN BHD,,04 - 5070911,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=86061&sid=E2FD79295C9FFE4BF3EF8A75C49464CE
"UNIT 6-2-2, BLOCK 6 2ND FLOOR, QUEENS AVENUE JALAN BAYAM 55100 KUALA LUMPUR",jess@supersafe.com.my,'2017-08-02,CLS BUILD & DESIGN SDN BHD,,03 - 92055580,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=86155&sid=2B6B501342750FC66FDEFC2ABBA72081
"PT 4899, SEKSYEN 2 MUKIM PANCHOR PENGKALAN CHEPA KOTA BHARU 16100 KELANTAN",info@inotrus.com,'2017-08-02,BRICKWELL ENGINEERING SDN BHD,,09 - 7713677,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=46445&sid=7BACAC6914EEC4B51B100941B6A18545
LOT 133077 JALAN LAHAT BKT MERAH INDUSTRIAL ESTATE 31500 PERAK,info@decorpoles.com.my,'2017-08-02,DECOR POLES SDN BHD,,05 - 3224690,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=37879&sid=FE79C6A28817B1537E9FF28BC8FCCFFD
"PLO 464, JALAN GANGSA PASIR GUDANG INDUSTRIAL ESTATE PASIR GUDANG 81700 JOHOR",whcisb@whitehorse.com.my,'2017-08-02,WHITE HORSE CERAMIC INDUSTRIES SDN BHD,,07 - 2518555,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=4683&sid=67A5FB41E27332A3A3ACE11067D7F53F
"682, JALAN KEBUN BARU TAMAN PERINDUSTRIAN RINGAN JURU JURU 14100 PULAU PINANG",engineer1@dmr.com.my,'2017-08-02,DMR DIVERSIFIED MANUFACTURING RESOURCES SDN BHD,,04 - 5076233,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12195&sid=DA693DF9569B8D463C227CB1A18E6CCF
"49 & 49A, JALAN IMPIAN EMAS 2 TAMAN IMPIAN EMAS SKUDAI 81300 JOHOR",mail@laubros.com,'2017-08-02,LAUBROS ENGINEERING SDN BHD,,07 - 5588759,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=80311&sid=163EAA0E4FA83AA1DCC51A70A610CFC5
"LOT 4, SOLOK WAJA 1 BUKIT RAJA INDUSTRIAL ESTATE KLANG 41050 SELANGOR",info@roxul.com,'2017-08-02,ROCKWOOL MALAYSIA SDN BHD,,03 - 33468286,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9841&sid=47EA74A857405D8EE93912E21CA66FCB
"LOT 3928, JALAN KERETAPI LAMA OFF JALAN KAPAR 5 1/2 MILES KLANG 42100 SELANGOR",sales@demcoalarm.com,'2017-08-02,DEMCO INDUSTRIES SDN BHD,,03 - 32903333,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10639&sid=86E3310964C3166C6DD9915D22646F32
"1797, JALAN BALAKONG BUKIT BELIMBING SERI KEMBANGAN 43300 SELANGOR",jwan@everlas.com,'2017-08-02,EVERLAST ACCESS TECHNOLOGIES SDN BHD,,03 - 89615223,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=5772&sid=10546A41CB8715344EF2BD1640FB9149
18-11-E GURNEY TOWER PERSIARAN GURNEY 10250 PULAU PINANG,jfkchem@streamyx.com,'2017-08-02,JFK GLOBAL HOLDING SDN BHD,,04 - 3701998,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=62247&sid=D390EACCD93418649079CC0C85420943
"21, PERSIARAN KILANG JELAPANG INDUSTRIES ESTATE IPOH 30100 PERAK",johnson.phoon@gmail.com,'2017-08-02,ALPHAPLAS INDUSTRIES SDN BHD,,05 - 5265321,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=5954&sid=6CBF1DB059012EBFE61B714E9C1ED389
NO 18 JALAN LP 2A/2 TAMAN LESTARI PERDANA SERI KEMBANGAN 43300 SELANGOR,enquiry@targetprecast.com,'2017-08-02,TARGET SALES & MARKETING SDN BHD,,03 - 89441388,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=86443&sid=70C9322A6D073E20892242F044159DDC
22 JALAN BP 5/6 BANDAR BUKIT PUCHONG 47100 PUCHONG 47100 SELANGOR,sales@caf.com.my,'2017-08-02,CAF INDUSTRIES SDN BHD,,03 - 80660366,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=86900&sid=97E226B1F07264FCF049DC635333013C
"PT 121 & 122 TINGKAT 1 & 2, KG CHEKOK PASIR MAS 17060 KELANTAN",tecstun.icci@gmail.com,'2017-08-02,INTEGRATED COIL COATING INDUSTRIES SDN BHD,,09 - 7941686,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=71730&sid=FC5E215D18583783792682833D6C0A5F
"SME TECHNOPRENEUR CENTRE, 2270 JALAN USAHAWAN 2, CYBER 6, CYBERJAYA 63000 SELANGOR",misha@cyberview.com.my,'2017-08-02,CYBERVIEW SDN BHD,,03 - 83156111,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=32812&sid=2B47C76000457A82E968CC86A5D61CBE
"59, JALAN APOLLO U5/188 BANDAR PINGGIRAN SUBANG, SECTION U5 SHAH ALAM 40150 SELANGOR",info@staydrycoatings.com,'2017-08-02,STAYDRY COATINGS SDN BHD,,03 - 78314493,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=65068&sid=432AE0528EF6FA14F71A82D1753665BA
18 JALAN SB JAYA 10 TAMAN INDUSTRI SUNGAI BULOH JAYA 47000 SELANGOR,nexusexpressmalaysia@yahoo.com,'2017-08-02,SUPERGLASS ALUMINIUM RENOVATION SDN BHD,,03 - 61426940,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=66115&sid=FE53879D0EC09C9690EA573E90672FD7
LOT 19 JALAN PERUSAHAAN 2 KAW PERUSAHAAN BERANANG 43700 SELANGOR,enquiry@rciwiretech.com,'2017-08-02,RCI WIRE TECH SDN BHD,,03 - 87668688,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=62079&sid=87BBF25B1BF77DB4E020BAAF9A708E0A
LOT 2293 BUKIT ANGKAT KAJANG 43000 SELANGOR,sifoniap@yahoo.com,'2017-08-02,SING FOONG NIAP ENGINEERING SDN BHD,,03 - 87343928,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=66202&sid=C59C6D629B4B2A1C17B40163432FC601
"11 & 13, JALAN BS 7/15 BKT SERDANG INDUSTRIAL PARK SERI KEMBANGAN 43300 SELANGOR",toppical@live.com,'2017-08-02,TROPICAL BLINDS SDN BHD,,03 - 89421992,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8222&sid=CEEF8CB58F3BEBFAC069EB80ABFB2E2C
"6, JALAN 1/7 TAMAN INDUSTRI SELESA JAYA BALAKONG 43300 SELANGOR",madetill_malaysia@yahoo.com,'2017-08-02,MADETILL (M) SDN BHD,,03 - 89614834,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=3610&sid=956B3FAF6FC903F99A858D4D89CD600C
"19B, LALUAN TAWAS DAMAI TAMAN TAWAS IDAMAN IPOH 31200 PERAK",nedertek@gmail.com,'2017-08-02,DAGANG NUSANTARA SDN BHD,,05 - 5473312,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=14185&sid=F6BE91242BF0C273E492EA16958B12A7
"8, JALAN UTAMA 2/26 TAMAN PERINDUSTRIAN PUCHONG UTAMA 47100, SELANGOR DARUL EHSAN 47100 SELANGOR",irene@itco.com.my,'2017-08-02,ITCO GLOBAL SDN BHD,,03 - 80683028,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=60710&sid=18F796B8F89D509540F57159807DBB23
"1571, JALAN SERUNAI, KAW PERINDUSTRIAN VALDOR MUKIM 12, 14200 SUNGAI BAKAP SEBERANG PRAI SELATAN 14200 PULAU PINANG",ginoooi@bwysgroup.com,'2017-08-02,YS SUCCESS INDUSTRIES SDN BHD,,04 - 5859999,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=60775&sid=AFB3F728CC16A8F9DCE12D53E36739D3
"LOT3264, SG MACHANG JALAN MANTIN LENGGENG 71700 MANTIN 71700 NEGERI SEMBILAN",info@farogroup.com.my,'2017-08-02,FARO INDUSTRIES (M) SDN BHD,,06 - 7585162,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=44000&sid=616D5171E602FCAB5DFA1B87115159FB
G41 JALAN MUTIARA EMAS 9/3 TAMAN AUSTIN BOULEVARD 81100 JOHOR,senhengbpsteel@live.com,'2017-08-02,SENHENG STAINLESS STEEL SDN BHD,,016 - 7166631,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=60037&sid=399122137A663D7957231D2D850E6C66
51 JALAN JAGUH 1 TAMAN HARMONI 2 81300 JOHOR,si_tong@live.com,'2017-08-02,SI TONG SDN BHD,,016 - 9225979,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=60071&sid=1F3964D02B26B58E30115B4C8B6BF0CF
"3466, BATU 7 1/2 JALAN PUCHONG PUCHONG 47100 SELANGOR",bmcpeggypg@gmail.com,'2017-08-02,FUTURE CEILING SDN BHD,,03 - 80768104,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=60765&sid=87A339A82952089A47E879107C6C962E
"LOT 23261, JALAN SUNGAI PULUH, 6 MILES OFF JALAN KAPAR KLANG 42100 SELANGOR",cycleworld@pd.jaring.my,'2017-08-02,CYCLEWORLD MARKETING SDN. BHD.,,03 - 32915890,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=60903&sid=6EC8834D2808D28947179E149E96E674
"20, JALAN TP 7/5, SIME UEP INDUSTRIAL PARK SECTION 26 SHAH ALAM 40400 SELANGOR",lina@qts.com.my,'2017-08-02,QTS SDN BHD,,03 - 51917300,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=35140&sid=197BCB4D67513F7A1A9B7E060CF8CF85
"LOT 23261, JALAN SUNGAI PULUH OFF JALAN KAPAR KLANG 42100 SELANGOR",cycleworld@pd.jaring.my,'2017-08-02,CYCLEWORLD GLOBAL SDN BHD,,03 - 32915890,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=61018&sid=E96642E98E3FA7449FF672D62A80CFE0
"1A, JALAN 205 OFF JALAN TANDANG PETALING JAYA 46050 SELANGOR",info@mmosaics.com,'2017-08-02,MALAYSIAN MOSAICS BERHAD,,03 - 77187333,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12129&sid=C7CFD2531467A2638563654DFFAA8414
"RUMAH ROHAS, 2ND FLOOR 61, JALAN RAJA ABDULLAH KG BARU 50300 KUALA LUMPUR",rei@rohaseuco.com,'2017-08-02,ROHAS-EUCO INDUSTRIES BHD,,03 - 26973900,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13467&sid=E64E2CF25E59D260D57F177577D8AD15
"LOT 575, I KM LEBUHRAYA SEGAMAT-KUANTAN SEGAMAT 85000 JOHOR",enquiry@ajiya.com,'2017-08-02,AJIYA SAFETY GLASS SDN BHD,,07 - 9313133,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=3285&sid=D4B683B771BA033A8B18E3AC15C2DCBA
12 JALAN 213 PETALING JAYA 46050 SELANGOR,ccchong@feruni.com,'2017-08-02,FERUNI CERAMICHE INTERNATIONAL SDN BHD,,03 - 77847277,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=38912&sid=CE965D3582557168C775921F32302FB3
"14B, JALAN KENARI 5 BANDAR PUCHONG JAYA PUCHONG 47100 SELANGOR",info@e2my.com,'2017-08-02,EFFICIENT EDGE (M) SDN BHD,,03 - 80700230,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=36888&sid=D5DFC9057A54C282BEF15F905D94B47F
