EMAIL,DATE_SCRAPED,HREF,CONAME,BIZADD,FAILMSG,TEL 
sjyong3112@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=55386&sid=A17F95D13147D47ABA655420CB6C933B,ECONCEPT MARKETING SDN BHD,"56, JALAN PUTRA PERDANA 2/2 TAMAN PUTRA PERDANA, PUCHONG  47100 SELANGOR",,03 - 80231799
info@tnm.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=76209&sid=C61A66B4A1A549B6CBADB1D34BE5299A,T N M MFG SDN BHD,"1, LORONG 3A, KAW MIEL CHERAS JAYA JALAN BALAKONG, BATU 11 BALAKONG, CHERAS 43200 SELANGOR",,03 - 90752722
hwatuck88@hotmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=73028&sid=7581928599EB9F69C1FF1B28C187C7B2,HWA TUCK AIR COND PARTS & SERVICE SDN BHD,152 JALAN BAKAWALI 52 TAMAN JOHOR JAYA 81100 JOHOR,,016 - 7709277
senteck2011@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=76114&sid=0D8C328767ADE41C8DE205262F8F67A8,SENTECK CREDIT SDN BHD,105 JALAN TEMENGGONG AHMAD MUAR 84000 JOHOR,,06 - 9516521
enquiry@sgisb.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=76156&sid=968F2D4B31EACF735D8B9BB2B7A01100,SANYCO GRAND INDUSTRIES SDN BHD,"LOT 3 JALAN PEMAJU U1/15, SECTION U1 HICOM GLENMARIE INDUSTRIAL PARK 40150 SELANGOR",,03 - 55691218
vivian.asaka@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=73310&sid=C303F077E4968C5C99FEAC728A0FC025,ASAKA INDUSTRIAL (M) SDN BHD,22-2 JALAN 2/17 TAMAN FADASON OFF JALAN KEPONG 5220 KUALA LUMPUR,,03 - 62583299
sales@kakimotor.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=76319&sid=DD40A3F4E8C7533A822FD7091FA1656B,KAKIMOTOR SDN BHD,14-1 JALAN PJS 9/2 BANDAR SUNWAY 46150 SELANGOR,,03 - 56352232
sales@tushima.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=58715&sid=D82CD78B7F8374254676CA68BAC30935,TUSHIMA TRADING SDN BHD,7 JALAN DESA 5/3 TAMAN DESA 86000 JOHOR,,07 - 7731993
edaran4x4@yahoo.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=77280&sid=E06B8303772F4377276F9AB6DFA48261,EDARAN 4X4 AKSESSORIES SDN BHD,"100G, JALAN PELABUR A 23/A SEKSYEN 23 40300 SHAH ALAM, SELANGOR 40300 SELANGOR",,03 - 55456100
vion@kinsens.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13364&sid=CB057EFCAE82CF52EC2E6F3F597A0E7B,KINSEN FILTER MANUFACTURE SDN BHD,"NO 326G JALAN HARUAN 5/7, OAKLAND COMMERCIAL CENTRE 2 SEREMBAN 70300 NEGERI SEMBILAN",,06 - 7673322
george@tomsb.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15807&sid=1E4CC9D833E100D9FB650E4CC203F220,TECH OUTLOOK (M) SDN BHD,"11, JALAN ZURAH 5 PUSAT PERINDUSTRIAN ZURAH MUKIM RASA, HULU SELANGOR 44200 SELANGOR",,03 - 60570355
suanne.tan@rotork.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=77591&sid=A74F308C8D220008D69E939E34C08DE3,ROTORK (MALAYSIA) SDN BHD,32 JALAN ANGGERIK MOKARA 31/47 SECTION 31 KOTA KEMUNING SHAH ALAM 40460 SELANGOR,,03 - 55253931
info@horizon-land.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=77455&sid=8C68568BF0468A34FCF3E87A944EB1D0,HORIZON LAND SDN BHD,"25A & B, SUNWAY PRIMA LINTANG SUNGAI TIRAM 5 BAYAN LEPAS, PENANG 11900 PULAU PINANG",,04 - 6463636
kahmun.cheh@porex.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=76943&sid=D241BF1471143D7E7332789051E41C29,POREX TECHNOLOGIES SDN BHD,"LOT PT 74, JLN HULU TINGGI 26/6 SECTION 26, SEKTOR A, HICOM INDUSTRIAL PARK SHAH ALAM 40400 SELANGOR",,03 - 51913308
enquiry@metwork.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=31663&sid=4472CA5EA6792CA00B2ED8E795C14E47,METWORK INDUSTRY SDN BHD,"21, JALAN P1, KAW PERINDUSTRIAN BALAKONG KG BARU BALAKONG, JALAN BALAKONG MILE 13, SERI KEMBANGAN 43300 SELANGOR",,03 - 89618899
acc.admin@ryde.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=78009&sid=DCEA8439FC0FCFB341E9F001BA6F4D1F,RYDE (MALAYSIA) SDN BHD,"7,9&11, JALAN SELAT SELATAN 23 PANDAMARAN PORT KLANG 42000 SELANGOR",,03 - 31685489
yeocp@impressive-edge.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=78037&sid=DFDB7A03C47E8FC7EADCE7242B1E555F,IMPRESSIVE EDGE SDN BHD,12A JALAN TTC 29 TAMAN TEKNOLOGI CHENG 75250 MELAKA,,06 - 3361977
draudio@pixen.net,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=58307&sid=44E47DA26D741605EA3581EA7D82E6A9,PIXEL ENERGY SDN BHD,"210, JALAN PAHANG SETAPAK   53000 KUALA LUMPUR",,03 - 40225516
info@asia-tools.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=78900&sid=A5CED63FD413EADF57C9BFEDEEB54315,ASIA TOOLS UNITED SDN BHD,"G-1-6, SETIA WALK, PERSIARAN WAWASAN PUSAT BANDAR PUCHONG PUCHONG 47160 SELANGOR",,03 - 58828838
malaysia@rexpower.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=78208&sid=BD585FB786C643E7E5630103108CEC71,REXPOWER SDN BHD,"109, JALAN BP 8/3 BANDAR BUKIT PUCHONG PUCHONG 47120 SELANGOR",,03 - 80628383
sharianraj@nvs99.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=78861&sid=3173EB396207CA041D99A752482FA73D,NVS (M) SDN BHD,"19G,7TH FLOOR, BLOCK 2 WORLDWIDE BUSINESS CENTRE JALAN TINJU 13/50, SHAH ALAM 40675 SELANGOR",,03 - 55133498
findmore@hpromotorsport.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=78798&sid=C5B8AF5FBF2E25C9E7D2C8EA84B37A0A,H PRO MOTORSPORT SDN. BHD.,"STAR PARC POINT, BLOCK F-01-08 JALAN TAMAN IBUKOTA TAMAN DANAU KOTA 53300 KUALA LUMPUR",,03 - 41312166
ymhq@yonming.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=79215&sid=9E22ED668F4E9807FD18AF454BB1A662,YONMING AUTO & INDUSTRIAL PARTS SDN BHD,89 & 90 TAMAN CITY JALAN KUCHING 51200 SELANGOR,,03 - 62517860
corporate@yokohama.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=2255&sid=7D23DFA81DCDA858ABD7B521A18C209A,YOKOHAMA BATTERIES SDN BHD,"LOT 1238, 23TH MILE, JALAN KACHAU SEMENYIH-SG LALANG SEMENYIH 43500 SELANGOR",,03 - 87233327
contact@evermatic.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=79427&sid=9D808CA38F9337EE144D6A22D850DD2E,EVERMATIC SDN BHD,"LOT 1-4, MILES 5 PENAMPANG BARU JALAN PENAMPANG 88300 SABAH",,088 - 702222
sjsmktg08@yahoo.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=79677&sid=D8C007972A209EF7FE0083F83A08A21C,SJS MARKETING SDN BHD,"2, JALAN MALIM JAYA 2/7 TAMAN MALIM PERMAI MELAKA 75250 MELAKA",,06 - 3372178
terrance.sourcing@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=64386&sid=A1E6750209B0794CAE5ECC54CCC9FC12,KARPACIFIC SDN BHD,"NO.6, JALAN MAS 2, KINRARA MAS, PERSIARAN KINRARA SECTION 3 47100 SELANGOR",,01 - 62200209
heidi@tomsstickers.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=78724&sid=C5FCB88508BA39B4DCD05EE38FF6AEA3,TOM'S STICKERS (M) SDN BHD,"8, JLN MEGA B, TMN INDUSTRI MEGA BANDAR TEKNOLOGI KAJANG SEMENYIH 43500 SELANGOR",,03 - 95432898
ang1104.me@metalextrusion.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=80122&sid=5DD06D80BD7C88DDCB1B361E9E7F6D8A,METAL EXTRUSION SDN BHD,"1869, LORONG SUNGAI KECIL SUNGAI KECIL NIBONG TEBAL 14300 PULAU PINANG",,04 - 5942096
mieonkyo@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=79931&sid=9EEE98A7316E3F9D6481EDF842D71ED9,DHP LUBE SDN BHD,"29, JALAN ASA 7 TAMAN ASA JAYA KAJANG 43000 SELANGOR",,03 - 87336522
sales@rnacv.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=79881&sid=58B4A752C2EC79B8F1486E6FEE12ADC5,CHINA AUTO MANUFACTURERS (M) SDN BHD,"SENDOK GROUP BUILDING, LOT 1564, BATU 4, JALAN KAPAR KLANG 42100 SELANGOR",,03 - 33455600
chemtube@chemtube.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=4858&sid=B89F14204A3D78CD5E57FBEC56B83D49,CHEMTUBE (M) SDN BHD,"LOT 6539,  JALAN SG KERAMAT 3 TAMAN KLANG UTAMA B KLANG 42100 SELANGOR",,03 - 32919818
azmanharon1970@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=86104&sid=24163AC59A422C30938B493C1DD4E8F5,TANZANIA MARKETING & DISTRIBUTOR,"00-08 BLOCK TANJUNG , JALAN PERMAI 2 MERDEKA VILLA AMPANG 68000 SELANGOR",,011 - 13233296
zailah.zainal@mpol.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=6692&sid=678E7CCA1DE6859578185ACDFE41F115,M-POL PRECISION PRODUCTS SDN BHD,"PLOT 11 & 12, NON FREE TRADE ZONE BAYAN LEPAS  11900 PULAU PINANG",,04 - 6447055
alanleong1@yahoo.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=37395&sid=2C123E83FF9A88516C1535B6F4B7EA37,CRANHILL SOLUTIONS SDN BHD,"239A, JALAN MAHKOTA TAMAN MALURI CHERAS 55100 KUALA LUMPUR",,03 - 92743135
sales@mintye.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=80370&sid=DCEF3324F604B3DD098885CC87C1EEB6,MINTYE INDUSTRIES BHD,19 JALAN SEGAMBUT PUSAT SEGAMBUT 51200 KUALA LUMPUR,,03 - 62520005
info@bluesignage.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=60456&sid=678109A36016A10F2840CEDAF0B174E4,BLUESIGNAGE SDN BHD,"OFFICE 29, LEVEL 1, RESOURCE CENTRE TECHNOLOGY PARK MALAYSIA BUKIT JALIL 57000 KUALA LUMPUR",,03 - 89966100
gtloh.bkcv@boonkoon.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=84015&sid=B2E5DCF37D2A423A11DBA4102DDD4B9B,BKCV SDN BHD,1177 JALAN DATO KERAMAT NIBONG TEBAL SEBERANG PERAI SELATAN 14300 PULAU PINANG,,04 - 5931504
powerbrake_mal@hotmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=61598&sid=C87C032C4F2FCA1EA93461C5E4ED307A,POWER BRAKE MANUFACTURING SDN BHD,"16 JALAN LOMBONG EMAS 1,KAW INDUSTRY RINGAN SEREMBAN 70200 NEGERI SEMBILAN",,06 - 7610542
info@wiserf.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=86402&sid=8C3EAFD1B641A417E93AFE57A57F84A8,WISERF TECHNOLOGIES SDN BHD,"31, JALAN PENDAMAR 27/90 SECTION 27, HICOM INDUSTRIAL AREA SHAH ALAM 40000 SELANGOR",,03 - 51019881
hssbhologram@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=37460&sid=7CC3FD45A9DA57CCA4023FD114C2D8EB,DANY HOLOGRAM PRINTING SDN BHD,29 JALAN ASA 7 TAMAN ASA JAYA KAJANG 43000 SELANGOR,,03 - 87336522
rzprestasi@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=87052&sid=EC235AA43A25A4362F6D90309752DB06,RZ PRESTASI AUTO PARTS SDN BHD,30 JALAN DAMAR GLENMARIE COVE PELABUHAN KLANG 42000 SELANGOR,,03 - 31626144
cnteoh@proformance.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=86289&sid=B27EBC061A38D4C7E2BB40628E29311D,PROFORMANCE SDN BHD,"PLOT NO 53, TINGKAT PERUSAHAAN 6 PHASE 4 PRAI INDUSTRIAL ESTATE PERAI 14000 PULAU PINANG",,04 - 5011501
cl.cheong@vitaltechnical.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=80001&sid=7D289F3EBC2F4F030519012FC3BA2AAE,IMPIANA INDUSTRIES SDN BHD,LOT 165 JALAN INDUSTRI 1/2 RAWANG INTEGRATED INDUSTRIAL PARK 48000 SELANGOR,,03 - 60920000
cylim@aranecca.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=82982&sid=DE6A28CF0A4E839BBE0148E04350CDB3,ARANECCA ECOMMERCE,"24, JALAN SETIA IMPIAN U13/7B SETIA ALAM SHAH ALAM 40170 SELANGOR",,012 - 2822019
custsupport@nms2u.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=78234&sid=D2900384A25097EAFCCA48ADF161FBA2,NMS ENERGY SDN BHD,"62, PUCHONG GATEWAY JALAN SURIA PUCHONG 4 PUSAT PERNIAGAAN SURIA PUCHONG,PUCHONG 47110 SELANGOR",,03 - 89539319
alvin@kristall.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=87171&sid=8E5721CE9F29019D414436879AC21F99,GTN INNOVATIONS SDN BHD,65 JALAN MOLEK 3/10 TAMAN MOLEK 81100 JOHOR,,012 - 7118833
info@proreka.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=83489&sid=BD4403F75773C555C6A1C62EF9C5E9F5,PROREKA AUTOMOTIVE PARTS SDN BHD,"17, JALAN INDUSTRI PBP3 TAMAN INDUSTRI PUSAT BANDAR PUCHONG PUCHONG 47100 SELANGOR",,03 - 58822661
ykcc@yk.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=83449&sid=4686FE6E4EE5F499F8908B81B9766335,PACIFICA POWER SDN BHD,"LOT 46904, JALAN SELAYANG BARU SELAYANG INDUSTRIAL PARK BATU CAVES 68100 KUALA LUMPUR",,03 - 61395025
sravathy@falsafahjaya.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=79938&sid=DF061237F473BA69FC7B622ABC97C5AE,FJI LEAD SDN BHD,"1, JALAN UTAMA 1/12 TAMAN PERINDUSTRIAN PUCHONG UTAMA SEK 1, PUCHONG 47100 SELANGOR",,03 - 80618742
calvenloke@magnagama.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=87115&sid=E2EB52BE818BF39B79062E8DCF0063BB,MAGNA GAMA SDN BHD,LOT 37053 AL 223 KAMPUNG BARU SUNGAI BULOH 47000 SELANGOR,,03 - 61513833
eeleeautospares@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=36669&sid=3160A36360A0F804910E1ECAB5ABA3D9,EE LEE AUTO SPARES SDN BHD,"NO.54, JALAN DATO' HAJI YUSOFF OFF JALAN IPOH  50400 KUALA LUMPUR",,03 - 40438212
sales@tevocreations.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=83742&sid=57DB6B6E28F8833994EFC1DA96FEC825,TEVO CREATIONS SDN BHD,"PLOT 155, JALAN PERINDUSTRIAN BUKIT MINYAK 7 BUKIT MINYAK INDUSTRIAL ESTATE,MK 13, S.P.T. BUKIT MERTAJAM 14100 PULAU PINANG",,04 - 5085688
anj4x4@yahoo.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=85038&sid=E3677131D76D014E36570D740C8DE0BC,AJ 4X4 SDN BHD,"16,JALAN 2/46A TAMAN NIAGA WARIS OFF JALAN KUCHING 51200 KUALA LUMPUR",,012 - 2200023
sales@thermik.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=84069&sid=5BF615574790D9231D86F10B13F3D569,THERMIK TECHNOLOGIES SDN BHD,"LOT 63, JALAN KENANGA 8A BUKIT BERUNTUNG INDUSTRIAL PARK BANDAR BUKIT BERUNTUNG 48300 SELANGOR",,03 - 60284889
atabaratech@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=58914&sid=5EEE1F826753AEEE9FAE1F8C559D826B,ARTABARA TECHNIK SDN BHD,119 JALAN PENDAMAR 27/90 SEKSYEN 27 40400 SELANGOR,,03 - 56143748
tempered@gpglass.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9270&sid=09FAE1F16E2906551F4D597952452846,GOLDEN PHAROS GLASS SDN BHD,"LOT 7, JALAN PERAK, KWS. PERUSAHAAN, TELOK PANGLIMA GARANG KUALA LANGAT, 42500 SELANGOR",,03 - 31226115
account@hdt-autopart.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=83872&sid=AD89CF473E1C04350496115069EFCEC9,HD TOKYO AUTOPART SDN BHD,157G JALAN SEGAMBUT TAMAN SEGAMBUT 51200 KUALA LUMPUR,,03 - 62423526
marcomm@yhiam.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=83842&sid=DF94938FE275C373A0733C28BADBEBE5,YHI MANUFACTURING (MALAYSIA) SDN BHD,"3533, JALAN PBR 28 KAW PERINDUSTRIAN BUKIT RAMBAI 75250 MELAKA",,06 - 3518008
clleong@apmisb.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=82160&sid=623AD669EC9F170C422C1DEAA9AE62F7,ADVANCE PLUS MOULDS & INJECTIONS SDN BHD,27 JALAN P4/6 SEKSYEN 4 BANDAR TEKNOLOGI KAJANG 43500 SELANGOR,,03 - 87232801
info@voda.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=85235&sid=97019B4A061ACBD8C8371760DAD0D06A,VODA ENERGY SDN BHD,154B JALAN SELINGSING 5 TAMAN CITY OFF JLN KUCHING 51200 KUALA LUMPUR,,03 - 62582799
sales@blp-international.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=82472&sid=D77464F513D51BE3F3CD467457C32640,BLP PETROLEUM SDN BHD,19 & 20 JALAN SRI JAYA 1 TAMAN SRI JAYA 86000 JOHOR,,07 - 7768045
enquiries@organica-biotech.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=61915&sid=F9FEBBFD827654D40E6C54983AFD6E13,ORGANICA BIOTECH SDN BHD,LOT 19-A JLN 16/155C BNDR BUKIT JALIL KUALA LUMPUR 57000 KUALA LUMPUR,,03 - 89949961
mail@osren.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12571&sid=933F0052A8367A6A65A4689D71DB6324,OSREN (MALAYSIA) SDN BHD,"NO.31 JLN SIBU 16 TMN WAHYU BATU 6, JALAN IPOH 68100 KUALA LUMPUR",,03 - 62502616
Credential.industry@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=82835&sid=91F34FD574902967E3283940B5914369,CREDENTIAL INDUSTRY SND BHD,8 JALAN JELOK IMPIAN 2A TAMAN JELOK IMPIAN 43000 SELANGOR,,03 - 87402584
damy@redwheelz.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=82490&sid=5BB43E7922DECC53BFCF136B539B404C,RED WHEELS TRADING,19-1 JALAN ADENIUM 2G/8 ADENIUM BUSINESS CENTER SECTION BB5 BANDAR BUKIT BERUNTUNG 48300 SELANGOR,,03 - 60201596
aripin_khan@hotmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=3680&sid=351A1CEE26D93B59507E6F4AAFBBFB1F,REGAL ONE SDN BHD,NO.59 JLN SERULING 58 TMN KLANG JAYA KLANG 41200 SELANGOR,,03 - 33242878
info@hardexworld.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=44378&sid=3B076F283B48E7F4DBE67D623622FD13,TOP UNIVERSAL MARKETING SDN. BHD.,"2, JALAN IM 3/6, KAWASAN PERINDUSTRIAN IM 3 BANDAR INDERA MAHKOTA KUANTAN 25200 PAHANG",,09 - 5721063
norainisoltan@siproplastic.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=5820&sid=C574E3B7B1F648A62BDA236B232C7869,SIPRO PLASTIC INDUSTRIES SDN BHD,"NO 15, JALAN JASMINE, SEKSYEN BB10, BUKIT BERUNTUNG, RAWANG 48300 SELANGOR",,03 - 55418064
faiz.yaacob@cdi.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=43362&sid=B5DEA6EE91C0DF74B60D4198D47AC231,CD INTEGRATED SDN BHD,"D-02-1, BLOCK D, RITZE PERDANA BUSINESS CENTRE, 5, JALAN PJU 8/2, BANDAR DAMANSARA PERDANA PETALING JAYA 47820 SELANGOR",,03 - 77242131
muru@aitsv.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13942&sid=4BAE4C8A104D2AE6AD41BC96E186CD0F,AIT SYNERGY VENTURES SDN BHD,9-02 JLN KENARI 17F BNDR PUCHONG JAYA PUCHONG 47100 SELANGOR,,03 - 80769702
vanlioemautospares@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=76117&sid=E74CE9A38F5D353721AAB5F0B94D353B,VANLI OEM AUTO SPARES SDN BHD,472B 472C BATU 3 JALAN IPOH 51200 KUALA LUMPUR,,03 - 40436800
ianleong@alliedhori.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=5008&sid=A51BA39A452415ED3DB72A44EC6D4EDC,ALLIED HORI SDN BHD,"LOT 8, JALAN INDUSTRI 3/2 TAMAN INDUSTRI INTEGRASI RAWANG 48000 SELANGOR",,03 - 60915836
enquiry@althea.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15618&sid=1ACDBC3048F8D87E56A42A61ABF9A5BC,ALTHEA SERVICES,31A JALAN DANG WANGI KUALA LUMPUR  50100 KUALA LUMPUR,,03 - 22733415
inquiry@exnlube.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=79651&sid=E6B244252DA9B4294E9046DF03C60108,EXN AUTOMOBILE (M) SDN BHD,"W-3A-06 & W-3A-07, LEVEL 3A, WEST WING METROPOLITAN SQUARE, JALAN PJU 8/1 BANDAR DAMANSARA PERDANA, PETALING JAYA 47820 SELANGOR",,03 - 77323208
info@xenso.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=56658&sid=747572AD3FC795242BF38A17DA721306,XENSO ELECTRONICS SDN BHD,"LOT. 10, SOLOK SULTAN HISHAMUDDIN 7 KAW. PERINDUSTRIAN SELAT KLANG UTARA PORT KLANG 42200 SELANGOR",,03 - 31762000
nurulfaiz@stx.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=80766&sid=7CB02286D3ABC419E8C0D107CA21731D,STX PRECISION CORPERATION SDN BHD,"LOT 153 (NO. 17A), JALAN ANGKASA MAS 6 KAW PERINDUSTRIAN TEBRAU II JOHOR BAHRU 81100 JOHOR",,07 - 3533940
moon@racingboy.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=80864&sid=1E523F51A3C69240547F04BC963F692F,UMA RACING SDN BHD,"51, JLN UTAMA 2/7 TMN PERINDUSTRIAN PUCHONG UTAMA PUCHONG 47140 SELANGOR",,03 - 58805533
carbi@carbideco.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=80943&sid=3F0B2B529D6D04487B820E7B174804A4,CARBI DECO LEATHER INDUSTRY SDN BHD,9G JALAN BANDAR EMPAT BELAS PUSAT BANDAR PUCHONG 47100 SELANGOR,,03 - 58829227
gill@ampacasiapacific.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=2860&sid=0705EB8F143894959FB4E0F3C83D43D1,AMPAC HOLDINGS SDN BHD,C15-1 DATARAN PALMA JALAN SELAMAN 1 AMPANG 68000 SELANGOR,,03 - 42706477
contact@exorin.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=61561&sid=3A0CC0E79DA5A956D0107C7395B23609,CHEM TUNE (ASIA PACIFIC) SDN BHD,"LOT 8 GROUND FLOOR, DONGGONGON POINT, PENAMPANG 89500 SABAH",,088 - 731130
