restname,address,opening hours,contact,rating,conclusion 
,,,,,"Ieatishootipost readers can buy Mayer products at a very special discounted rate. What you need to do is to write to
to get a quote for any of the appliances in their product range! You can have a look at their brochure at
."
Yuan Chun Famous Lor Mee,"Amoy St Food Centre #02-79/80, Singapore","
Opening hours:
(Not available)
Closed:
Mondays and Tuesdays",,,
Ah Guan Mee Pok,"69 Syed Alwi Road, Singapore","
Opening hours:
Daily: 8:00AM to 10:00PM",62960069,,
Hong Kong Soy Sauce Chicken,"Smith St Food Centre #02-127, Singapore","
Opening hours:
11:00AM to 8:00PM
Closed:
Wednesdays",,,
Fei Lou Porridge,"Telok Blangah Crescent Food Centre Stall 116, Singapore","
Opening hours:
5:30PM to 12:00AM",,,
Chef Icon Nature Bakery,"5 Kampong Bahru Road Singapore 169341, Singapore","
Opening hours:
Mon-Sat: 8:30AM to 8:00PM
Closed:
Sun & PH",9337 3900 (Francis),,
Tiong Bee Bah Kuk Teh,"588F Jalan Datoh, Off Balestier Road, Singapore 329899, Singapore","
Opening hours:
7:00AM to 3:00PM
Closed:
Alt Mondays",,,
Chye Kee Chwee Kueh,"Blk 89 Pipit Road Market and Food Centre #01-129, Singapore","
Opening hours:
6:30AM to 3:00PM",,,
Zhong Xing Foo Chow Fishballs,"56 Zion Road Singapore 247781, Singapore","
Opening hours:
7:30AM to 5:00PM
Closed:
Tuesday",,,"They have moved to: Blk 148, Silat Avenue"
,,,,,"Ah I must declare that I was using a body double for the clip!  The hands you see are the hands of Damien, our Pizzaiolo!"
Hai Kee Char Kway Teow,"(Formerly from Queenstown) Telok Blangah Crescent Food Centre #01-102, Singapore","
Opening hours:
5:00PM to 10:00PM
Closed:
Sundays",,,
,,,,,
Bukit Purmei Lor Mee,"Blk 501 West Coast Drive, , Singapore 120501","
Opening hours:
7:30AM to 2:00PM
Closed:
Mon, Tues, Fri",,,Thanks to Sen for the upload!
One Three Zero @ Dempsey,"130e Minden road, Singapore","
Opening hours:
Daily: 5:00PM to 12:00AM",6777 7292,,
Jiu Jiang Shao La,"Blk 20 Ghim Moh Road, Ghim Moh Food Centre, Singapore","
Opening hours:
10:30AM to 2:00PM
Closed:
Wednesdays",,,
Hwa Kee BBQ Pork Noodles,"East Coast Park Lagoon Food Village Stall No. 45, Singapore","
Opening hours:
7:30AM to 12:30PM
Closed:
Wednesdays",,,
Sin Heng Bak Koot Teh,"439 Joo Chiat Road, Singapore","
Opening hours:
7:30AM to 4:00PM
Sunday: 7:30AM to 1:00AM
Closed:
Mondays",6345 8754,,
Boon Lay Power Nasi Lemak,"Blk 221B, Boon Lay Place #01-106 Boon Lay Place Food Centre, Singapore","
Opening hours:
Daily: 5:00PM to 2:00AM",,,
Sheng Hokkien Mee,"East Coast Lagoon Food Centre, Singapore","
Opening hours:
12:00PM to 12:00AM",,,
Rong Chen Bak Kut Teh,"Blk 22 Sin Ming Road , Singapore","
Opening hours:
(Not available)",97544774,,
,,,,,"* Footnote: After the writing of this blog post, one of our readers wrote in with reference to an article from the wsj that states that the origins of the word Canai is most probably attributed to the Malay word “to stretch” rather than its place of origin. You can click
to read the article."
J.H.K Kitchen,"Pasir Ris East CC No. 1 Pasir Ris Drive 4 #01-07 Singapore 519457, Singapore","
Opening hours:
(Not available)",65824209,,
Hin Beef Hor Fun,"Ghim Moh Food Centre Blk 20 Ghim Moh Road #01-44 Singapore 270020, Singapore","
Opening hours:
10:00AM to 3:00PM
5:00PM to 8:30PM
Closed:
Mondays",97521215,,
Hoover Rojak,"Blk 90 Whampoa Drive Whampoa Food Centre,Stall 01-06 Singapore 320090, Singapore","
Opening hours:
Daily: 10:30AM to 9:30PM
Tuesdays: 10:30AM to 6:00PM",90214593,,
Noodle House Ken,"150 Orchard Road #01-17/18 Orchard Plaza Singapore 238841, Singapore","
Opening hours:
5:00PM to 2:00AM
Closed:
Sundays",62355540,,"After trying the Hiyashi Chuka, the noodles at Noodle House Ken has become my gold standard to measure all other noodles. Noodle House Ken is not your usually polished Ramen joint. It is dank and dinghy and reminds me of some of the stalls in the back alleys of Shimabashi in Tokyo. Ken owns and operates the place and it exudes his personality which is what makes the place special."
Chin Huat Live Seafood Restaurant,"Blk 105, #01-30 Clementi St 12 (Sunset Way) Singapore 120105, Singapore","
Opening hours:
(Not available)",67757348 (Amy),,
Seng Kee Mushroom Minced Pork Noodles,"316 Changi Road, Singapore","
Opening hours:
Daily: 8:00AM to 10:00PM
Closed:
Alt Mondays",6345 7561,,
Tong Fong Fatt (Ghim Moh),"Blk 20 Ghim Moh Road Ghim Moh Food Centre #01-49, Singapore","
Opening hours:
10:00AM to 9:00PM",,,
Founder Bak Kut Teh Restaurant,"347 Balestier Road (New Orchid Hotel), Singapore 329777, Singapore","
Opening hours:
(Not available)",,,
Tian Tian Hainanese Chicken Rice,"443 Joo Chiat Road Singapore 427656, Singapore","
Opening hours:
10:30AM to 9:30PM",,,
Whampoa Soya Bean and Grass Jelly,"Whampoa Drive Blk 91 Whampoa Mkt and Food Centre #01-52, Singapore","
Opening hours:
Daily: 6:30AM to 4:30PM
Closed:
Monday",,,William just wrote in to say that their name is now Whampoa Soya Bean and Grass Jelly!
Sin Ming Roti Prata,"Blk 24, #01-51, Sin Ming Road Singapore 570024, Singapore","
Opening hours:
Daily: 6:00AM to 7:00PM",64533893,,
,,,,,
Magma,"2-4 Bukit Pasoh Road Singapore 089816, Singapore","
Opening hours:
(Not available)",,,
Quentin's,"139 Ceylon Road, Eurasian Community House, Singapore 429744, Singapore","
Opening hours:
(Not available)",6348-0327 / 6254-4556/ 9147-0146,,"The meaty cutlets are also something I would recommend you try especially if you like corned beef. For me, corned beef reminds me of my childhood as my own father was a lover of the canned version and we used to have corned beef fried rice and corned beef omelette. The meaty cutlets are a combination of corned beef and pototoes and deep fried in a biscuit crumbs. You can imagine what that tastes like. Yep, it tastes like corned beef and potatoes and its comfort food!"
"Fei Fei Wanton Mee,","Ubi Ave 1 Blk 302, Unit #01-09 Singapore 400302, Singapore","
Opening hours:
7:00AM to 7:00PM
Closed:
This stall is closed",Vincent 96339797,,Part 1 of the Tale of Two Wanton Mees is found
Teochew Muay,"5 Mohd Sultan Singapore 239014 , Singapore","
Opening hours:
Mon-Sun: 12:00PM to 3:00PM
6:00PM to 10:00PM
Closed:
Restaurant is closed",62350338,,"

"
Nantsuttei,"#03-02 Millenia Walk 9 Raffles Boulevard, Singapore 039596, Singapore","
Opening hours:
(Not available)",,,"Here’s an excellent clip from
that talks about Ramen culture in Japan.  The Japanese really get into things in a big way!"
Men Tei,"61, Robinson Road, Robinson Center, #01-01, Singapore 068893, Singapore","
Opening hours:
(Not available)
Closed:
Weekends",,,
Ghim Moh Chwee Kueh,"Blk 20, Ghim Moh Road Ghim Moh Food Centre #01-31 Singapore 270020, Singapore","
Opening hours:
Daily: 6:15AM to 7:00PM",64626017,,
Lai Wah Restaurant,"Blk 44 Bendemeer Road #01-1436, Singapore","
Opening hours:
(Not available)",62949922,,
Gen Shu Mei Shi She Jia,"Toa Payoh Lor 4  Blk 74 Food Centre #01-03, Singapore","
Opening hours:
(Not available)
Closed:
Mondays",,,
Baikohken,"7 North Canal Road Singapore, Singapore","
Opening hours:
(Not available)",6534 3808,,
The Garden @ The Sentosa Resort & Spa,"2 Bukit Manis Road  Singapore 099891, Singapore","
Opening hours:
(Not available)",6371 1130,,"The Chef here tells me that butter and cream are banned ingredients at the restaurant, so is MSG and any form of seasoning powder. All the stock and sauces are also done in-house and nothing comes out from a packet. So even for their desserts like the Panna Cotta, soya milk is used to replace cream which results in a dessert that is light and refreshing."
Guan Kee Char Kway Teow,"Ghim Moh Food Centre #01-12, Singapore","
Opening hours:
9:30AM to 2:30PM
Closed:
Mon and Fri",,,"Finally realised why there is a perpetual queue for this Uncle’s Char Kway Teow! This morning’s Kway Teow was what I expected! Lively, savoury Kway Teow that leaps into your mouth with a nice wok flavour! As a result my revised rating is
!"
Inagiku,"Level 3, Fairmont Singapore 80 Bras Basah Road  Singapore 189560, Singapore","
Opening hours:
(Not available)",6339 7777,,"This review is based on a media review session hosted by Inagiku to introduce their new Sushi Chef, Chef Hiro, and also to highlight the spring harvest. The dishes shown are smaller portions as they are part of the media review menu."
,,,,,"This project is sponsored by Standard Chartered.
You can find out more about their excellent
dining promotions at:"
Oriole Cafe and Bar,"96 Somerset Road #01-01 Pan Pacific Serviced Suites, Singapore","
Opening hours:
(Not available)",6238 8348,,is an interesting site to see more Latte Art!
Miharu Sapporo Ramen,"The Gallery Hotel 76 Robertson Quay (or is it 1 Nanson Road?) #01-11, Singapore","
Opening hours:
(Not available)",6733-8464,,I shall be keeping an eye on the the voting in order to make sure that I blog at least the top five.
Everything with Fries,"458 Joo Chiat Road Singapore 427671, Singapore","
Opening hours:
(Not available)
Closed:
Mondays",63455034,,
Tampopo,"177 River Valley Road Liang Court Shopping Centre, #B1-50 Singapore, Singapore","
Opening hours:
(Not available)",6338-3186,,"This project is sponsored by Standard Chartered. You can find out more about their excellent dining promotions at –
."
,,,,,"What do you think? Are you concerned about this? If you are, please write in to voice your concern! You can write directly to Straits Times Life! at
and directly to Ya Kun at
. The people selling food must be made to feel responsible for the food they feed us and it is up to us to make sure they know we care."
Marutama Ramen,6 Eu Tong Sen Street #03-90/91 The,"
Opening hours:
(Not available)",6534 8090,,
Ippudo,"Mandarin Gallery 333A Orchard Road #04-02/03/04 Singapore 238867, Singapore","
Opening hours:
(Not available)",,,"Ippudo is controversial. There are many who love it and some who have used terms like “overrated” and “disappointing” when describing their Ippudo experience. I think that if their Ramen were priced at $13 per bowl and if Shigemi Kawahara weren’t three times Ramen Champion and the Ramen King, most people won’t be complaining. I don’t think being more expensive is the problem. I think the problem is that Singaporeans want an Ippudo Ramen that is exactly the same as what we can get in Japan and anything less is a disappointment. From what I know of the history of Ippudo, a man like Shigemi Kawahara will not satisfied until he is the undisputed King of Ramen in Singapore as well so there should be better things ahead!"
Ramen Santouka,"6 Eu Tong Sen Street #02-76 The Central, Singapore","
Opening hours:
(Not available)",6224 0668,,"This project is sponsored by Standard Chartered. You can find out more about their excellent dining promotions at –
."
Two Fat Men,"376 East Coast Road Singapore 428984, Singapore","
Opening hours:
Daily: 5:00PM to 3:00AM",63460046 98570741,,"For those who intend to go to this place based on my initial review, please read the comments first. It has been a few months since the review was written and it looks as if the standard of the food is different from the time the restaurant was just opened."
Menya Shinchan,"30 Robertson Quay #01-05 Riverside View Singapore 238251, Singapore","
Opening hours:
(Not available)
Closed:
This stall is closed",67320114,,"Menya Shinchan is the type of stall that I like. It is passion personified. It is Ramen made by people who love Ramen, who live and breathe Ramen and want to convert the whole world to worship at the Shrine of the Supreme Ramen. Discovering a restaurant like this is what this blog is all about."
Hui Ji Fishball Noodle/Yong Tau Foo,"Tiong Bahru Food Centre #02-44, Singapore","
Opening hours:
7:00AM to 2:00PM",,,
Kim’s Family Restaurant,"17 Lorong Kilat #01-06 Singapore 598139, Singapore","
Opening hours:
(Not available)",6465 0535,,
,,,,,I must make a pilgrimage one day to visit the village where my grandfather came from and at the same time taste real Teochew food!
,,,,,"You can check out their full range of pastas
."
Yuan Wei Seafood Restaurant,"1001 Serangoon Road, Singapore","
Opening hours:
5:00PM to 4:00AM",6297 7255,,
Seng Kee Bak Chor Mee,"Serangoon Gardens Food Centre Stall 4, Singapore","
Opening hours:
7:30AM to 3:00PM
Closed:
Mondays",84390434,Update 2 Oct 2014,"This is the old address




Please ring up to book your crabs before 3pm!"
Nan Xiang Steam Buns Restaurant,"180 Kitchener Road #04-15/16 City Square Mall Singapore 208539, Singapore","
Opening hours:
Mon-Fri: 11:30AM to 10:00PM
Sat,Sun&PH: 11:00AM to 10:00PM",6509 9134,,Note:  This was an invited review
Your Woul,"165 Thomson Road  Goldhill Centre , Singapore","
Opening hours:
11:30AM to 2:30PM
5:30PM to 10:30PM",6251 0123,,
Soon Kee Teochew Porridge,"(33 Sembawang Eating House) 33 Sembawang Road #01-04/07, Hong Heng Garden, Singapore 779084, Singapore","
Opening hours:
(Not available)",Tan Boon Huat Hp.9832 9787,,"(Thanks to Lina for the update)
Soon Kee Teochew Porridge (33 Sembawang Eating House), 33 Sembawang Road #01-04/07, Hong Heng Garden, Singapore 779084. Tan Boon Huat Hp.9832 9787"
Peramakan,"Level 3 Keppel Club 10 Bukit Chermin Road S(109918), Singapore","
Opening hours:
(Not available)",63772829,,
,,,,,
D’Pastry,"Blk 3020 Ubi Ave 2 #01-121 Singapore 408896, Singapore","
Opening hours:
8:00AM to 6:00PM
Closed:
alt Sundays",67427168,,
,,,,,"So if you have a favourite Chicken Rice place, do write in and nominate them as the Best of the Best Chicken Rice in Singapore!"
,,,,,My blog post on Rempah Udang is
Wanton Noodle,"Tiong Bahru Market Stall 02-30, Singapore","
Opening hours:
10:30AM to 3:00PM
Closed:
Fridays",,,
Cafe de Hong Kong,"586 Balestier Road #01-01 Eastpac Building S329898 , Singapore","
Opening hours:
11:30AM to 3:00PM
5:30PM to 12:00AM
Closed:
Monday (except on PH)","62553865,",,"The Pen Chai  start from $188 for 6 persons and is available for take away together with the claypot.  Do check out their Chinese New Year set menus at
."
Tiong Bahru Fishball,"Tiong Bahru Market 30 Seng Poh Road Stall #02-20, Singapore","
Opening hours:
Daily: 7:00AM to 10:00PM",96362500,,
Teo Heng Porridge Stall,"#01-25 Hong Lim Food Centre , Singapore","
Opening hours:
7:00AM to 2:00PM
Closed:
Sundays",,,
,,,,,Read about
Tiong Bahru Pau,"Tiong Bahru Market and Food Centre #02-18/19 30 Seng Poh Rd S168898, Singapore","
Opening hours:
(Not available)",,,
Tian Tian Curry Rice,"Blk 116, Bukit Merah View S(151116), Singapore","
Opening hours:
9:00AM to 9:00PM
Closed:
Alt Monday",91096732,,
Jiu Ji restaurant,"Sim Sim settlement Pier 7 Sandakan, Sabah, Malaysia","
Opening hours:
(Not available)",,,
,,,,,
Bukit Merah View Carrot Cake,"Bukit Merah View FC Blk 115 Bukit Merah View #01-37, Singapore","
Opening hours:
7:00AM to 2:00PM
6:00PM to 1:00AM",,,Thanks to chaozhouzi for recommending this stall!
Lee Kheong Roasted Delicacy,"531A Hong Lim Market & Food Centre #02-15, Upper Cross Street , Singapore","
Opening hours:
10:00AM to 6:00PM
Closed:
Sundays",93804854 (William),,
Restoran Key Hiong,"Taman Megah near Kelana Jaya Petaling Jaya, Malaysia","
Opening hours:
(Not available)",,,
Ah Seah Teochew Porridge,"31 Tech Chye Terrace, Singapore","
Opening hours:
(Not available)
Closed:
Alt Mon",,,
Extra Space Self Storage,"301 Boon Keng Road Singapore 339779, Singapore","
Opening hours:
(Not available)",6304 3202,,"So tell us, do you keep your wines on top of the fridge?"
Traditional Handmade Noodles,"Stall 35, Serangoon Gardens Way Food Centre, Singapore","
Opening hours:
Daily: 7:00AM to 10:00PM",,,
Cumi Bali Indonesian Restaurant,"66, Tanjong Pagar Road, Singapore 088487, Singapore","
Opening hours:
(Not available)",62206619,,
,,,,,Phew!  Two makan sessions in two days!  Now I need a rest!
Xu Jun Sheng Teochew Cuisine,"121 Joo Chiat Road , Singapore","
Opening hours:
Mon-Sat: 11:00AM to 3:30PM
5:30PM to 9:00PM
Sun: 10:30AM to 3:30PM
Closed:
Wednesday","98472946, 90308600",,
Private Affairs,"45 Joo Chiat Place Singapore 427769, Singapore","
Opening hours:
(Not available)",64400601,,
Shabu Shabu Gen,"#02-13 Shaw Centre,  1 Scotts Rd, Singapore","
Opening hours:
(Not available)",6836 5155,,
Beach Road Prawn Noodle House,"370 East Coast Road  Singapore 428981, Singapore","
Opening hours:
Daily: 8:00AM to 4:00PM
Closed:
Tuesdays",63457196,,
Mr Prime Prata,"Blk 132, Lorong Ah Soo, Singapore","
Opening hours:
Daily: 7:00AM to 10:00PM",,,
,,,,,"Oh BTW, we will be auctioning a
at our ieat AGM this Friday!  So if you are keen to make your own pizza, get your wallet ready on Friday to bid for it!  (All proceeds are donated to Charity)"
Hajjah Mona Nasi Padang,"Geylang Serai Food Centre Stall No. #02-166, Singapore","
Opening hours:
8:00AM to 7:00PM
Closed:
Wednesday",82826902,,
Kim Joo Guan,"257 South Bridge Road  Singapore 058806 , Singapore","
Opening hours:
(Not available)",62255257,,
,,,,,"Once we can get the top 5 nominees, we will run a poll where everyone here can vote for the Best of the Best Hokkien Mee in Singapore.  So do write in and nominate your favourite Hokkien mee stall!"
Rosraihanna Soto and Satay,"Golden Mile Food Centre B1-19, Singapore","
Opening hours:
12:00PM to 10:00PM
Closed:
Sundays",,,I just love writing about these little stalls where the food is made with such passion. It is this passion that differentiates between the good and the great. Sedap lah!
Cacio e Pepe,"3 Chu Lin Road Singapore 669890, Singapore","
Opening hours:
Lunch: 11:30AM to 2:30PM
Dinner: 6:00PM to 10:30PM
Closed:
Mondays",6760 3534,,
Big Ben’s Place,"15 Swan Lake Avenue (Opera Estate), Singapore","
Opening hours:
Mon-Sat: 12:00PM to 10:00PM",68760737,,I like Big Ben’s because they are the closest I can get to a good old Aussie Pie which was a staple for me when I lived in Australia.  Using Wagyu is great as the flavour is very good.  But they really should just learn from Intel and label their pies “Wagyu inside” but just stick to the $4 price tag.  Then it would be compelling enough for people to want to drive to an Ulu part of Siglap to partake of the pie.
,,,,,Thanks for voting!
,,,,,
Galley by the Straits,"SAF Yacht Club  43 Admiralty Road West  (S) 759962, Singapore","
Opening hours:
Daily: 11:00AM to 10:30PM",64911388/ 67579026,,
Four Seas Sugarcane,"Stall #01-57 Golden Mile Food Centre 505 Beach Road Singapore 199583, Singapore","
Opening hours:
(Not available)",,,
Funan Weng Ipoh Ho Fun,"Maxwell Chambers 32 Maxwell Road #01-07  Singapore 069115, Singapore","
Opening hours:
(Not available)",96990498,,
Wah Kee Prawn Noodles,"Blk 41A Cambridge Road Hawker Centre (Pek Kio) #01-15, Singapore","
Opening hours:
7:30AM to 2:00PM
Closed:
Mondays",96883633,,
,,,,,"To see the rest of our videos, please click
."
Sembawang Confectionery,"Blk 6, Beach Road #01-4869 Singapore 190006, Singapore","
Opening hours:
(Not available)",62953965,,
Eleven Fingers Curry Rice,"Blk 269B, #01-235 Queen St Singapore 180269, Singapore","
Opening hours:
(Not available)
Closed:
Alternate Fridays",,,
,,,,,
Om Burger,"Lorong Kolam Air Lama 1  Ampang, KL (in front of 7-11), Malaysia","
Opening hours:
(Not available)",,,
New Rong Ge Liang Hong Kong Roast,"Blk 269B, #01-235 Queen St Singapore 180269, Singapore","
Opening hours:
Daily: 9:00AM to 8:00PM
Closed:
1st Wed of the month",,,
Tong Siew,"Stall 26 Cambridge Road Food Centre, Singapore","
Opening hours:
12:30PM to 11:30PM
Closed:
Tuesdays",96939599,,
Xi Le Ting Dessert,"Stall no. 70 Commonwealth Crescent Food Centre, Singapore","
Opening hours:
12:00PM to 10:00PM
Closed:
Fortnightly on Mon-Tues",,,"Anyway, I think I am getting too carried away."
,,,,,
Godzilla Da Pau,"Elias Mall (Air Con food court upstairs) , Singapore","
Opening hours:
Daily: 6:30AM to 8:00PM
Tuesdays: 6:30AM to 1:00PM",97523815,,
Chin Huat Live Seafood Restaurant,"Blk 105, #01-30 Clementi St 12 (Sunset Way) Singapore 120105, Singapore","
Opening hours:
(Not available)",67757348,,The offer is from 16 November till 30 November you will need to book one day in advance.
,,,,,
Indian Mutton Soup,"Blk 116 Commonwealth Crescent, #01-129 Singapore 140116, Singapore","
Opening hours:
2:30PM to 10:00PM",,,
Lee Heng Restaurant,"Blk 118, #01-29, Commonwealth Crescent Singapore 140118, Singapore","
Opening hours:
(Not available)",64759953,,"I like the San Lou Hor Fun here as it comes with a bit of gravy and the Hor Fun is smooth and slippery.  With a lot of other stalls, the Hor Fun tends to lack the gravy, but this stall makes theirs with a bit of gravy which is very nice.
The fish head bee hoon is also very good though I felt that it could have had a bit more ooomph in the soup.  However, as I said, it is one of the few stalls which pride themselves at making it without the use of milk powder which I think is quite commendable."
,,,,,Have a great weekend ahead!
Roland Restaurant,"Block 89, Marine Parade Central, # 06 – 750 Singapore 440089, Singapore","
Opening hours:
(Not available)",6440 8205,,Mention “ieatishootipost” and get a 10% discount!
,,,,,Many thanks to Soundman and Cactuskit for their photos and videos!
Chin Huat Live Seafood Restaurant,"Blk 105, #01-30 Clementi St 12 (Sunset Way) Singapore 120105, Singapore","
Opening hours:
(Not available)",67757348,,
Bismillah Biryani Restaurant,"50 Dunlop Street  Singapore 209379 , Singapore","
Opening hours:
Daily: 11:00AM to 10:30PM",93827937,Congrats to Bismillah for being awarded the Bib Gourmand 2016!,
Tung Lok Signatures,"Vivocity 1 Harbourfront Walk #01-57, Singapore","
Opening hours:
(Not available)",63759555,,
Crystal Jade Dining In,"VivoCity #01-112, Singapore","
Opening hours:
(Not available)",62785626,,"If you are heading there, do look for the restaurant manager, Jane and let her know you are a blog reader!  She will take good care of you!"
Astons Prime,"176 Orchard Road Centrepoint #03-45/46/47, Singapore","
Opening hours:
(Not available)",,,"For the month of October, print out this blog post and get a drink and soup with every Aged Ribeye ordered.  That’s got to be the best value steak set meal for $43.90 and there is no GST and no service charge. Every steak is served with your choice of two side dishes."
,,,,,"Credit should also be given to
, for their kind donation of equipment to support Chris!"
Taste Paradise,"2 Orchard Turn #04-07, ION Orchard, Singapore","
Opening hours:
(Not available)",6509 9660,,This was an invited review
,,,,,
Sayang Food Corner,"150 Orchard Road, Orchard Plaza #02-12, Singapore","
Opening hours:
(Not available)",67380991,,
Bedrock Bar and Grill,"96 Somerset Road  #01-05 Pan Pacific Serviced Suites , Singapore","
Opening hours:
Lunch: 12:00PM to 2:30PM
Dinner: 6:30PM to 11:00PM
Closed:
Sunday",6238 0054,,This was an invited review
Foong Kee Coffee Shop,"6 Keong Saik Road, Singapore","
Opening hours:
11:00AM to 8:00PM
Closed:
Sundays and Public Holidays",96953632,,
,,,,,"For the rest of the video blogs, please visit the
."
Cugini,"87 Club Street #01-01 Singapore 069455 , Singapore","
Opening hours:
(Not available)",,,
Shi Hui Yuan Hor Fun Specialty,"Mei Ling Food Centre  Blk 159 Mei Chin Road #02-33, Singapore","
Opening hours:
Daily: 7:30AM to 2:00PM
Closed:
Mondays and Tuesdays",,,
,,,,,"Check out the rest of the ieat Videos
."
Chin Huat Live Seafood Restaurant,"Blk 105, #01-30 Clementi St 12 (Sunset Way) Singapore 120105, Singapore","
Opening hours:
(Not available)",67757348,,
Sin Kee Famous Chicken Rice,"Blk 159 Mei Chin Road Mei Chin Food Centre #02-22, Singapore","
Opening hours:
11:00AM to 8:00PM
Closed:
Mondays",64739525,,
Singapura Restaurant,"Blk 9 Selegie Road  #01-31 Selegie House , Singapore","
Opening hours:
(Not available)",6336 3255,,
Middle Road Pork Ribs Prawn Mee,"16, Sam Leong Road Singapore 207907, Singapore","
Opening hours:
Daily: 8:00AM to 2:00PM
Closed:
Mondays",,,
Teochew Handmade Pau,"Toa Payoh Lor 1 Blk 127 FC #02-02 , Singapore","
Opening hours:
Mon-Sat: 6:00AM to 2:00PM
Sun: 6:00AM to 12:00PM",62542053,,
Fook Seng Goldenhill Chicken Rice,"Block 37 Jalan Rumah Tinggi  #01-429 Singapore 150037 , Singapore","
Opening hours:
Daily: 9:00AM to 5:00PM",96238839 Chef Ronnie,,
Cafe de Hong Kong,"586 Balestier Road #01-01 Eastpac Building  S329898, Singapore","
Opening hours:
11:30AM to 3:00PM
5:30PM to 12:00AM",62553865,,"If you wish to receive an invite to the next event, please join the
!"
Udders Novena,"155 Thomson Road, Goldhill Centre S307608, Singapore","
Opening hours:
(Not available)",62546629,,
Nogawa Restaurant,"100 Orchard Road, #03-25 Lobby Level, Concord Hotel  Singapore 238840 , Singapore","
Opening hours:
(Not available)",6732 2911,,"Mention ieatishootipost when you order the Sushi Set ($30) and you will get an extra piece of Chutoro (not so fatty tuna belly) worth $12 free!  The Sushi Set comes with miso soup, chawanmushi, appetizer and dessert.  Amongst the other sushi, you will get the Tamago and the Anago as I mentioned, and of course the Chutoro which is normally not part of the set.  Make sure you tell the service staff when you order.  If you don’t get your Chutoro, look for Chef Kevin. (the guy in the photo next to Nogawa)"
Siang Hee Restaurant,"Serangoon Garden Food Centre, Stall 20, 49A Serangoon Garden Way 555945, Singapore","
Opening hours:
11:00AM to 10:30PM
Closed:
Alt Mondays",97364067 Ah Yoke,,"*It is important to mention to stall owners that you actually come to their stalls because of the blog because after the first few customers, they will begin to realise just how many readers we have and start to treat us all a little special.  It really makes it much easier to then approach the stall owner to organize a makan session. So everyone please play your part ok?"
Eng Kee,"117 Commonwealth Drive  #01-711 , Singapore","
Opening hours:
Mon-Sat: 12:00PM to 10:00PM",,,
Astons Prime,"Centrepoint #03-45/46/47, Singapore","
Opening hours:
(Not available)",,,"Remember to eat in moderation and if you have a cholesterol problem, please check with your doctor before eating this kind of food.  (Sometimes doctor say also no point.  My patient turned up today despite me telling him to control his diet!)"
Mamou,"Serendra, Fort Bonifacio, Philippines","
Opening hours:
(Not available)",,,"Here’s the link to
."
Chey Sua Carrot Cake,"Block 127 Toa Payoh Food Centre #02-30, Singapore","
Opening hours:
6:00AM to 1:00PM
Closed:
Mondays",,,
Charlie’s Peranakan Food,"205 East Coast Road Singapore 428904, Singapore","
Opening hours:
(Not available)",63448824,,
Rakuichi,"Blk 10 Dempsey Road #01-22 (Near Jones the Grocer), Singapore","
Opening hours:
(Not available)",64742143,,
Ah Chuan Oyster Omelette,"Toa Payoh Lor 7 Food Centre Stall #01-25, Singapore","
Opening hours:
3:00PM to 8:00PM
Closed:
Tuesdays",,,
China La Mian Steamed Buns,"Chinatown Smith Street Food Centre  Blk 335 Smith Street #02-135  Singapore 050335, Singapore","
Opening hours:
10:00AM to 9:00PM
Closed:
Thursdays",97435287,,
Ramen Santouka,"The Central #02-86, Singapore","
Opening hours:
Daily: 11:00AM to 9:30PM",,,
,,,,,"If you are keen to be take part in the next buzzing cashier tasting event, do register yourself in the
."
Zento Contemporary Japanese,"Blk 18B Dempsey Hill  Singapore 249677 , Singapore","
Opening hours:
(Not available)",64740378,,
,,,,,"You can buy this gypsum powder at San Teck Soon Medical Hall at Hong Lim Complex, #01-53.  it costs $6.50 and will last you forever!"
Teochew Street Mushroom Minced Meat Noodle,"Chinatown Smith Street Food Centre  #02-023 , Singapore","
Opening hours:
12:30PM to 9:00PM
Closed:
Mon-Tues",,,
Nam Seng Wanton Mee,"25 China Street #01-01 Far East Square , Singapore","
Opening hours:
8:00AM to 8:00PM
Closed:
Sundays",,,"Pop by next door to try another Hawker Legend:
Then hop, skip and jump to
for some Kopi and Kaya Toast"
Heng Ji Chicken Rice,"Chinatown Smith St FC  #02-131 , Singapore","
Opening hours:
3:00PM to 9:00PM",,,
Cherry Gardens,"5 Raffles Avenue  5F Mandarin Oriental Singapore, Singapore","
Opening hours:
(Not available)",6885 3538,,
Ah Seng Braised Duck Rice,"Stall No. 44 Serangoon Garden Way FC , Singapore","
Opening hours:
Mon-Sat: 11:00AM to 9:00PM
Closed:
Sunday",,,
Dai Dong Prawn Noodles,"354 Joo Chiat Road,, Singapore","
Opening hours:
9:00AM to 3:00PM
Closed:
Tuesdays",94797181,,"Their new address is
354 Joo Chiat Road,
Opening hours 9am to 3pm
Closed Tuesdays"
East West,"396 East Coast Road Singapore 428994, Singapore","
Opening hours:
Daily: 10:00AM to 10:00PM",91019884,,
,,,,,
Serangoon Garden Bakery & Confectionary,"Serangoon Garden Way FC Stall 45, Singapore 555945","
Opening hours:
7:30AM to 1:00PM
Closed:
Mon",,,Video added 14 Nov 2016
Garden Street Kway Chap,"Garden Street Kway Chap, Singapore","
Opening hours:
8:00AM to 3:00PM
Closed:
Mondays",,,
