restname,address,opening hours,contact
Pavillion Restaurant,"20, Craig Road #01-02 Singapore 089692, Singapore","
Opening hours:
Lunch: 11:00AM to 2:30PM
Dinner: 6:00PM to 10:30PM",65572820
,,,
Red Star Restaurant,"Blk 54 Chin Swee Road #07-23 Singapore 160054, Singapore","
Opening hours:
Daily: 7:00AM to 3:00PM
6:00PM to 10:30PM",6532 5266 / 6532 5103
,,,
Heaven’s Indian Curry,"Blk 20, Ghim Moh Road #01-26 , Singapore 270020","
Opening hours:
Daily: 6:00AM to 1:45PM","Laxmi 9483724, 9165 2868"
,,,
Orchard Cafe,"Orchard Hotel 442 Orchard Road Singapore 238879, Singapore","
Opening hours:
(Not available)",67347766
,,,
Habib’s Rojak,"Blk 503, West Coast Drive Stall 68 Ayer Rajah Food Centre Singapore 120503 , Singapore","
Opening hours:
12:00PM to 10:30PM
Closed:
Alt Monday",93358528 (Habib)
,,,
Soon Heng Restaurant,"39 Kinta Road Singapore 219108, Singapore","
Opening hours:
Mon-Fri: 10:30AM to 8:00PM
Sat/Sun/PH: 10:30AM to 5:00PM","6294 7343, 6294 6561, Khai Chew: 82884623"
,,,
928 Ngee Fou Restaurant Ampang Yong Tau Hu,"928, Upper Thomson Road Singapore 787121, Singapore","
Opening hours:
Daily: 10:00AM to 8:00PM",64521801
,,,
Restoran Foong Foong,"621-A Jalan Merdeka, Ampang Baru 68000 Ampang, Malaysia, Malaysia","
Opening hours:
(Not available)
Closed:
Tuesdays",60122095529
,,,
Chia Keng Kway Teow Mee,"Blk 453A Ang Mo Kio Ave 10 #01-11 Chong Boon Food Centre Singapore 561453, Singapore","
Opening hours:
5:00AM to 2:00PM
Closed:
Mon & Fri","96446338, 93591838"
,,,
Man Fu Yuen,"InterContinental Singapore 80 Middle Road Singapore 188966, Singapore","
Opening hours:
(Not available)",68251087
,,,
Chao Shan Cuisine,"#01-01, Grand Building, 17 Phillip Street, , Singapore 048695","
Opening hours:
Daily: 11:30AM to 2:30PM
6:00PM to 10:00PM","63362390, Liang 9004 6655"
,,,
Hong Heng Beef Noodle King,"Blk 226H Ang Mo Kio St 22 #01-16  Singapore 568226, Singapore","
Opening hours:
7:20AM to 3:30PM
Closed:
Monday",64524017
,,,
Roadhouse,"#01-07, Block 13, Dempsey Road (Just next to/behind PS Cafe) Singapore 249674, Singapore","
Opening hours:
(Not available)",6476-2922
,,,
Straits Kitchen,"Grand Hyatt Singapore 10 Scotts Road (S)228211, Singapore","
Opening hours:
6:00AM to 12:00AM",6732 1234
,,,
Seng Huat Restoran,"9, Jalan Besar, Klang, Malaysia","
Opening hours:
7:30AM to 2:00PM
5:00PM to 8:00PM
Closed:
1st & 15th on Chinese Lunar Calendar",60 3 3371 2652
,,,
Enoteca L’Operetta (Certified VPN),"78,79 Boat Quay (furthest from the UOB Plaza) Singapore 049866, Singapore","
Opening hours:
Mon-Sat: 11:30AM to 2:30PM
6:00PM to 11:00PM",64382482
,,,
Choon Seng Teochew Porridge,"Blk 43 Cambridge Road #01-09 Singapore 210043, Singapore","
Opening hours:
11:00AM to 2:30PM
Closed:
Sun/PH","62930706, 96788458"
,,,
Guy Savoy,"10 Bayfront Avenue,#L2-01,  Casino Level 2  Marina Bay Sands Singapore , Singapore","
Opening hours:
(Not available)",6688 8513
,,,
Lau Hock Guan Kee Bak Kut Teh,"328, Joo Chiat Road, #01-02 Singapore 427585, Singapore","
Opening hours:
8:30AM to 4:00PM
4:30PM to 12:00AM
Closed:
Thursday",64404928
,,,
Fragrant Sauce Chicken,"QS 269 Food House Blk 269B, Queen Street #01-236 Singapore 182269, Singapore","
Opening hours:
10:30AM to 8:00PM
Closed:
Thursdays",98522245 Randy Tse
,,,
Nam Chai Restaurant Bak Kut Teh,"Bandar Nam Tung, Ground Floor Block D, Lot 1, P O Box No. 1092 90712 Sandakan, Sabah Malaysia, Malaysia","
Opening hours:
8:30AM to 2:00PM
6:00PM to 9:00PM
Closed:
Mondays",089-612603
,,,
Al Mahboob Indian Rojak,"Blk 506, Tampines Ave 4  #01-361 Singapore 520506, Singapore","
Opening hours:
12:30PM to 9:00PM
Closed:
Alt Wed","67882257, 9132208"
,,,
Kong Kee Seafood Restaurant,"19-20 China Street , Singapore","
Opening hours:
Daily: 11:00AM to 9:00PM",65363023
,,,
Cantonese Delights,"Hong Lim Food Centre  #02-03, Singapore","
Opening hours:
8:30AM to 3:00PM
Closed:
Alt Mon & PH",91051904
,,,
Tanglin Halt Original Peanut Pancake,"Tanglin Halt Market Stall 16, Singapore","
Opening hours:
5:00AM to 11:00AM
Closed:
Mondays & Fridays",97123653
,,,
Hokkaido Sushi,"M Hotel, Level 9 81 Anson Road, Singapore","
Opening hours:
(Not available)",65006121
,,,
Prive,"No.2 Keppel Bay Vista Marina Keppel Bay, Singapore","
Opening hours:
(Not available)",67760777
,,,
Kwong Woh Hing,"5 Defu Lane 9 Singapore 539247, Singapore","
Opening hours:
Daily: 9:00AM to 5:00PM
Sat: 9:00AM to 3:00PM
Closed:
Sundays",62889497
,,,
Seng Heng Hainanese Boneless Chicken Rice,"Bukit Timah Food Centre #02-177, Singapore","
Opening hours:
10:45AM to 3:00PM
Closed:
Sunday",96624263
,,,
Restoran Green View,"No. 6 & 8 Jalan 19/3 46300 Petaling Jaya Selangor, Malaysia","
Opening hours:
11:00AM to 11:00PM",(603) 7958 1076 or 7954 9263
,,,
Mandarin Court,"Level 35, Mandarin Orchard Hotel 333 Orchard Road, Singapore","
Opening hours:
(Not available)",68316262
,,,
Akashi,"1 Tanglin Road, #01-01A Orchard Parade Hotel Singapore, Singapore","
Opening hours:
(Not available)",67324438
,,,
China Street Fritters,"Maxwell Road Food Centre Stall 64, Singapore","
Opening hours:
12:00PM to 8:00PM
Closed:
Mondays",92386464
,,,
Inagiku,"Level 3, Fairmont Singapore 80 Bras Basah Road Singapore 189560, Singapore","
Opening hours:
(Not available)",6431 6156
,,,
Wok Inn Fish and Chips,"PoMo, 1 Selegie Rd #01-20., Singapore 188306","
Opening hours:
Lunch: 11:30AM to 2:30PM
Dinner: 5:30PM to 8:50PM
Closed:
Mon",98976048
,,,
Seng Huat Hokkien Mee,"Pasir Panjang Food Centre 131 Pasir Panjang Road Stall 39, Singapore","
Opening hours:
12:00PM to 9:30PM
Closed:
Sun & PH",64738922
,,,
db Bistro Moderne,"Marina Bay Sands, 10 Bayfront Ave, B1-48 (directly opp Theatre), Singapore","
Opening hours:
(Not available)",66888525
,,,
Cafe de Hong Kong,"586 Balestier Road #01-01 Eastpac Building Singapore 329898, Singapore","
Opening hours:
11:30AM to 3:00PM
5:30PM to 12:00AM",62553865
,,,
You Peng Fresh Mian Jiao Zi Guan,"114, Upper Bukit Timah, Beauty World Centre, #04-23 Singapore 588177, Singapore","
Opening hours:
10:30AM to 9:00PM",92391598 Ms Chia 64635608
,,,
Santi,"10 Bayfront Avenue #L2-03, Casino Level 2, Marina Bay Sands, Singapore","
Opening hours:
(Not available)",6688 8501
,,,
KUMO Japanese Kaiseki Restaurant,"Icon Village 12 Gopeng Street #01-58  Singapore 078877, Singapore","
Opening hours:
(Not available)
Closed:
Sundays",6225 8433
,,,
Nam Wah Chong Fish Head Steamboat Corner,"814/816 North Bridge Road Singapore 198779/81, Singapore","
Opening hours:
(Not available)",62979319
,,,
Restoran Hak Seng,"49M, Jalan Lumba Kuda, 80300 Johore Bahru, Johor, Malaysia","
Opening hours:
12:00PM to 9:30PM
Closed:
Alt Wed",(07) 2225830/ (016) 7993670
,,,
Tatsuya,"Goodwood Park Hotel 22 Scotts Road, Singapore","
Opening hours:
(Not available)",67371160
,,,
Tian Shui Chicken Rice,"Tanglin Halt Market Stall no. #01-21, Singapore","
Opening hours:
9:00AM to 8:00PM
Closed:
Mondays",97575532 Ah Chuang
,,,
Whampoa Keng Fishhead Steamboat,"556 Balestier Road , Singapore","
Opening hours:
11:00AM to 11:00PM",97694451 (Keng) 91276550 Doris
,,,
Delicious Duck Noodles,"Tanglin Halt Market Commonwealth Drive Stall No. 23, Singapore","
Opening hours:
4:00AM to 2:00PM
Closed:
Fridays",97829210 Mdm Ngern
,,,
Peperoni Pizzeria,"7 Binjai Park Singapore 589821, Singapore","
Opening hours:
(Not available)",64637800
,,,
Puay Heng Bak Chor Mee,"23/24 China St, Far East Square, #01-01, Singapore","
Opening hours:
(Not available)",65366707
,,,
Tan Hock Seng,"86 Telok Ayer Street Singapore 048469, Singapore","
Opening hours:
Mon-Sat: 9:00AM to 7:30PM
Sun: 12:00PM to 4:00PM",65331798
,,,
Kuriya Dining,"1 Kim Seng Promenade #01-28 Great World City (Office Tower), Singapore","
Opening hours:
11:30AM to 2:15PM
6:30PM to 10:00PM",67360888
,,,
Ah Chiang Traditional Charcoal Porridge,"Blk 190, Toa Payoh Lor 6 #01-526, Singapore","
Opening hours:
7:00AM to 9:30PM",63566009
,,,
Sole Pomodoro Pizzeria,"12/21 Mackenzie Road #01-01 (Opp Rex Cinema) Singapore 228678, Singapore","
Opening hours:
12:00PM to 11:00PM
Closed:
Mondays",68843671
,,,
Fukuichi Japanese Dining Restaurant,"TripleOne Somerset Road #02-11/12 Singapore 238164, Singapore","
Opening hours:
(Not available)",6271 5586
,,,
Whampoa Keng Fishhead Steamboat,"556 Balestier Road , Singapore 329872","
Opening hours:
Lunch: 11:00AM to 3:00PM
Dinner: 5:00PM to 11:00PM",97694451 Keng; 91276550 Doris
,,,
Roxy Laksa,"48 East Coast Lagoon Food Village, Singapore","
Opening hours:
Mon-Fri: 10:30AM to 9:00PM
Wkends/PH: 8:30AM to 9:00PM
Closed:
Monday evening",96302321
,,,
L’Operetta,"78,79 Boat Quay (furthest from the UOB Plaza) Singapore 049866, Singapore","
Opening hours:
(Not available)",64382482
,,,
L’Operetta,"78,79 Boat Quay (furthest from the UOB Plaza) Singapore 049866, Singapore","
Opening hours:
(Not available)",64382482
,,,
Fukuichi Japanese Dining Restaurant,"TripleOne Somerset Road #02-11/12 Singapore 238164, Singapore","
Opening hours:
(Not available)",6271 5586
,,,
Janggut Laksa,"Queensway Shopping Centre, #01-59, Singapore","
Opening hours:
10:00AM to 9:15PM",Mdm Ng: 96221045
,,,
Ji Xiang Traditional Ang Ku Kueh,"Blk 1, Everton Park, #01-33 Singapore 081001, Singapore","
Opening hours:
(Not available)
Closed:
Sundays and Public Holidays",62231631
,,,
Kinki Restaurant and Bar,"70 Collyer Quay Customs House Level 2 Singapore 049323, Singapore","
Opening hours:
(Not available)
Closed:
No lunch service on Sat. Closed on Sundays",65333471
,,,
Penang Food Restaurant,"76, Geylang Lor 25A Singapore 388258, Singapore","
Opening hours:
Daily: 11:00AM to 12:00AM",68413002
,,,
Yee Kee Specialist Roasted Duck,"Blk 148, Silat Avenue #01-14 (Jalan Bukit Merah)  Singapore 160148, Singapore","
Opening hours:
(Not available)",96977083
,,,
Hock Lam Street Beef Kway Teow,"22 China St, #01-01 Far East Square , Singapore","
Opening hours:
(Not available)","62209290, 90180508 (Tina Tan)"
,,,
Pizzeria Mozza,"Marina Bay Sands, #B1-42-46 2 Bayfront Ave Singapore 018972, Singapore","
Opening hours:
(Not available)",66888522
,,,
Mei Zhen Hakka Delicacies,"Blk 320 Shunfu Road Hawker Centre #02-26, Singapore","
Opening hours:
7:30AM to 2:00PM
Closed:
Mon-Tues",97932189
,,,
Song Kee Fishball Noodles,"Toa Payoh Lor 5 Blk 75 Food Centre #01-354, Singapore","
Opening hours:
10:30AM to 12:00AM
Closed:
Alt Wed",96776979
,,,
Sole Pomodoro Pizzeria,"12/21 Mackenzie Road #01-01 (Opp Rex Cinema) Singapore 228678, Singapore","
Opening hours:
12:00PM to 11:00PM
Closed:
Closed Mondays",68843671
,,,
Tong Chiang Claypot Restaurant,"324 Lavender Street, Singapore 338822, Singapore","
Opening hours:
Daily : 11:30AM to 10:00AM",62964456 / 62964228 / 96423628
,,,
Nan Heng Hainanese Chicken Rice,"Bukit Merah Central Food Centre #02-28 (Blk 162), Singapore","
Opening hours:
11:30AM to 8:30PM
Closed:
Sundays",62736993
,,,
Day Night Fried Kway Teow,"Bukit Merah Central Food Centre Stall 02-29 (Blk 162), Singapore","
Opening hours:
10:00AM to 8:00PM
Closed:
Alt Thursdays",96404870
,,,
Union Farm Eating House,"435A Clementi Road Singapore , Singapore","
Opening hours:
Tue-Fri: 11:45AM to 3:00PM
5:00PM to 9:15PM
Sat,Sun,PH: 11:45AM to 9:15PM
Closed:
Mondays except PH",6466 2776
,,,
Balmoral Bakery,"Blk 105 Clementi St 12 #01-06 Sunset Way, Singapore","
Opening hours:
Daily: 9:00AM to 8:00PM",67792064
,,,
Paradise Pavilion,"Marina Bay Link Mall, #02-01/02 Singapore 018984, Singapore","
Opening hours:
(Not available)",65099308
,,,
Selera Restaurant,"15 Mackenzie Road (Opp former Rex Theatre) Singapore 228677, Singapore","
Opening hours:
(Not available)",3385687
,,,
Huber’s Butchery,"122 Upper Bukit Timah Road Singapore 588175, Singapore","
Opening hours:
(Not available)",
,,,
Le Chasseur,"Blk 27, Eunos Road 2 Singapore 409387, Singapore","
Opening hours:
11:30AM to 3:00PM
5:30PM to 9:30PM",91440322
,,,
Punggol Noodles,"Hainanese Village Centre 15 Hougang Ave 1,#02-24  Singapore 530105, Singapore","
Opening hours:
7:00AM to 2:30PM
Closed:
Every Sunday",97225590/92955909
,,,
Sheng Cheng Char Kway Teow,"Blk 132 Jalan Bukit Merah, Singapore","
Opening hours:
12:00PM to 10:00PM
Closed:
Closed fortnightly ad hoc",92736195
,,,
Cafe de Hong Kong,"586 Balestier Road #01-01 Eastpac Building S329898, Singapore","
Opening hours:
11:30AM to 3:00PM
5:30PM to 12:00AM",62553865
,,,
"Sage, The Restaurant","No. 7 Mohamed Sultan Road Singapore 238957, Singapore","
Opening hours:
(Not available)",6333 8726
,,,
Mei Tien Yuen coffeeshop,"456 MacPherson Road (a small corner stall next to coffee stall), Singapore","
Opening hours:
(Not available)",
,,,
Putien Restaurant,"127 Kitchener Road, Singapore","
Opening hours:
(Not available)",
,,,
Mirabelle Patisserie,"27 Mackenzie Road, Singapore","
Opening hours:
7:45AM to 7:30PM
Closed:
Sundays",6238 6235
,,,
Noodle Place Restaurant,"176 Orchard Road Centrepoint #01-53/56 Singapore 238843, Singapore","
Opening hours:
(Not available)",67333171
,,,
Restaurant Ten,"7 Purvis Street, Singapore","
Opening hours:
(Not available)",6333 9901
,,,
Restoran Teck Sing,"3 & 5, Jalan Sutera Satu, Taman Sentosa, 80150 Johor Bahru, Johor, Malaysia. , Malaysia","
Opening hours:
Daily: 11:00AM to 10:00PM",07-3347025
,,,
OTTO Ristorante,"28 Maxwell Road, Red Dot Traffic Building, Singapore","
Opening hours:
(Not available)
Closed:
Sundays",62276819
,,,
Fu Shi Traditional Roasted,"Blk 320 Shunfu Road Hawker Centre #02-25, Singapore","
Opening hours:
9:00AM to 2:00PM
Closed:
Mon-Tues",92378157
,,,
Glory Catering,"139 East Coast Road Singapore 428829 , Singapore","
Opening hours:
8:30AM to 8:30PM
Closed:
Every Monday except Public Holidays",Telephone: 63441749 Fax: 63465764
,,,
Loo's Hainanese Curry Rice,"Blk 71 Seng Poh Road, Singapore 160071","
Opening hours:
8:00AM to 2:45PM
Closed:
Alt Thurs",62253762
,,,
Garage,"30 Merchant Road #01-07, Riverside Point Singapore 058282, Singapore","
Opening hours:
5:00PM to 2:00AM",65333188 (reservations start at 5pm)
,,,
Teochew Kueh,"560 MacPherson Road, Singapore 368233","
Opening hours:
7:00AM to 12:00PM
Closed:
Mondays",97912580
,,,
Coffee Hut,"Stall 43, Jalan Bersih Food Centre, Singapore","
Opening hours:
7:00AM to 3:00PM
Closed:
Alt Saturday or Sunday",90108311 Roland
,,,
Lim Hai Sheng Cooked Food,"Blk 724 Ang Mo Kio Ave 6 #01-09 Singapore 560724, Singapore","
Opening hours:
(Not available)",
,,,
Pek Sin Choon,"36 Mosque Street Singapore 059514, Singapore","
Opening hours:
8:00AM to 7:00PM
Closed:
Sunday and PH",63233238
,,,
Ban Leong Wah Hoe Seafood,"122 Casuarina Road Singapore 579510, Singapore","
Opening hours:
4:00PM to 1:30AM",64522824/ 64554013
,,,
Seng Huat Eating House,"492 North Bridge Road (Opposite Bugis Jn) Singapore 188737 , Singapore","
Opening hours:
(Not available)",
,,,
Hup Chong Hakka Yong Dou Foo,"Block 206, Toa Payoh North Singapore 310206, Singapore","
Opening hours:
6:30AM to 3:00PM
5:00PM to 8:30PM
Closed:
Sunday",90932009 Alan
,,,
Xi Xiang Feng Yong Tau Foo,"Ang Mo Kio Blk 724 #01-23, Singapore","
Opening hours:
Daily: 7:00AM to 7:00PM
Closed:
Sundays",96353203
,,,
Heng Heng Bak Kut Teh,"107 Owen Road Singapore 218914, Singapore","
Opening hours:
7:30AM to 2:30PM
Closed:
Tuesdays",62924913
,,,
Kedai Makan Kee Kim Huat,"No 80 Jalan Badik, Taman Sri Tebrau 80050 Johor Bahru, Singapore","
Opening hours:
(Not available)
Closed:
Mondays","0167552211, 0127515544"
,,,
Senor Santos Brazilian Churrascaria and Bar,"Block 3B River Valley Road #01-12 The Foundry, Clarke Quay Singapore 179021, Singapore","
Opening hours:
(Not available)",6336 7741
,,,
Da Jie Famous Wanton Mee,"209, Jalan Besar (Sam Leong Road) , Singapore","
Opening hours:
Daily: 7:00AM to 2:00PM
Closed:
Sun and PH",96670087
,,,
Chef Icon Nature Bakery,"5 Kampong Bahru Road Singapore 169341, Singapore","
Opening hours:
Mon-Sat: 8:30AM to 8:00PM
Closed:
Sun & PH",9337 3900 (Francis)
,,,
Yuan Chun Famous Lor Mee,"Amoy St Food Centre #02-79/80, Singapore","
Opening hours:
(Not available)
Closed:
Mondays and Tuesdays",
,,,
Ah Guan Mee Pok,"69 Syed Alwi Road, Singapore","
Opening hours:
Daily: 8:00AM to 10:00PM",62960069
,,,
One Three Zero @ Dempsey,"130e Minden road, Singapore","
Opening hours:
Daily: 5:00PM to 12:00AM",6777 7292
,,,
Sin Heng Bak Koot Teh,"439 Joo Chiat Road, Singapore","
Opening hours:
7:30AM to 4:00PM
Sunday: 7:30AM to 1:00AM
Closed:
Mondays",6345 8754
,,,
Hai Kee Char Kway Teow,"(Formerly from Queenstown) Telok Blangah Crescent Food Centre #01-102, Singapore","
Opening hours:
5:00PM to 10:00PM
Closed:
Sundays",
,,,
Boon Lay Power Nasi Lemak,"Blk 221B, Boon Lay Place #01-106 Boon Lay Place Food Centre, Singapore","
Opening hours:
Daily: 5:00PM to 2:00AM",
,,,
Rong Chen Bak Kut Teh,"Blk 22 Sin Ming Road , Singapore","
Opening hours:
(Not available)",97544774
,,,
Hoover Rojak,"Blk 90 Whampoa Drive Whampoa Food Centre,Stall 01-06 Singapore 320090, Singapore","
Opening hours:
Daily: 10:30AM to 9:30PM
Tuesdays: 10:30AM to 6:00PM",90214593
,,,
Seng Kee Mushroom Minced Pork Noodles,"316 Changi Road, Singapore","
Opening hours:
Daily: 8:00AM to 10:00PM
Closed:
Alt Mondays",6345 7561
,,,
Noodle House Ken,"150 Orchard Road #01-17/18 Orchard Plaza Singapore 238841, Singapore","
Opening hours:
5:00PM to 2:00AM
Closed:
Sundays",62355540
,,,
Tong Fong Fatt (Ghim Moh),"Blk 20 Ghim Moh Road Ghim Moh Food Centre #01-49, Singapore","
Opening hours:
10:00AM to 9:00PM",
,,,
Hin Beef Hor Fun,"Ghim Moh Food Centre Blk 20 Ghim Moh Road #01-44 Singapore 270020, Singapore","
Opening hours:
10:00AM to 3:00PM
5:00PM to 8:30PM
Closed:
Mondays",97521215
,,,
J.H.K Kitchen,"Pasir Ris East CC No. 1 Pasir Ris Drive 4 #01-07 Singapore 519457, Singapore","
Opening hours:
(Not available)",65824209
,,,
Chin Huat Live Seafood Restaurant,"Blk 105, #01-30 Clementi St 12 (Sunset Way) Singapore 120105, Singapore","
Opening hours:
(Not available)",67757348 (Amy)
,,,
Sin Ming Roti Prata,"Blk 24, #01-51, Sin Ming Road Singapore 570024, Singapore","
Opening hours:
Daily: 6:00AM to 7:00PM",64533893
,,,
Tian Tian Hainanese Chicken Rice,"443 Joo Chiat Road Singapore 427656, Singapore","
Opening hours:
10:30AM to 9:30PM",
,,,
Magma,"2-4 Bukit Pasoh Road Singapore 089816, Singapore","
Opening hours:
(Not available)",
,,,
Quentin's,"139 Ceylon Road, Eurasian Community House, Singapore 429744, Singapore","
Opening hours:
(Not available)",6348-0327 / 6254-4556/ 9147-0146
,,,
Ghim Moh Chwee Kueh,"Blk 20, Ghim Moh Road Ghim Moh Food Centre #01-31 Singapore 270020, Singapore","
Opening hours:
Daily: 6:15AM to 7:00PM",64626017
,,,
"Fei Fei Wanton Mee,","Ubi Ave 1 Blk 302, Unit #01-09 Singapore 400302, Singapore","
Opening hours:
7:00AM to 7:00PM
Closed:
This stall is closed",Vincent 96339797
,,,
Teochew Muay,"5 Mohd Sultan Singapore 239014 , Singapore","
Opening hours:
Mon-Sun: 12:00PM to 3:00PM
6:00PM to 10:00PM
Closed:
Restaurant is closed",62350338
,,,
Gen Shu Mei Shi She Jia,"Toa Payoh Lor 4  Blk 74 Food Centre #01-03, Singapore","
Opening hours:
(Not available)
Closed:
Mondays",
,,,
Men Tei,"61, Robinson Road, Robinson Center, #01-01, Singapore 068893, Singapore","
Opening hours:
(Not available)
Closed:
Weekends",
,,,
Baikohken,"7 North Canal Road Singapore, Singapore","
Opening hours:
(Not available)",6534 3808
,,,
Lai Wah Restaurant,"Blk 44 Bendemeer Road #01-1436, Singapore","
Opening hours:
(Not available)",62949922
,,,
Inagiku,"Level 3, Fairmont Singapore 80 Bras Basah Road  Singapore 189560, Singapore","
Opening hours:
(Not available)",6339 7777
,,,
The Garden @ The Sentosa Resort & Spa,"2 Bukit Manis Road  Singapore 099891, Singapore","
Opening hours:
(Not available)",6371 1130
,,,
Oriole Cafe and Bar,"96 Somerset Road #01-01 Pan Pacific Serviced Suites, Singapore","
Opening hours:
(Not available)",6238 8348
,,,
Miharu Sapporo Ramen,"The Gallery Hotel 76 Robertson Quay (or is it 1 Nanson Road?) #01-11, Singapore","
Opening hours:
(Not available)",6733-8464
,,,
Everything with Fries,"458 Joo Chiat Road Singapore 427671, Singapore","
Opening hours:
(Not available)
Closed:
Mondays",63455034
,,,
Tampopo,"177 River Valley Road Liang Court Shopping Centre, #B1-50 Singapore, Singapore","
Opening hours:
(Not available)",6338-3186
,,,
Marutama Ramen,6 Eu Tong Sen Street #03-90/91 The,"
Opening hours:
(Not available)",6534 8090
,,,
Ramen Santouka,"6 Eu Tong Sen Street #02-76 The Central, Singapore","
Opening hours:
(Not available)",6224 0668
,,,
Menya Shinchan,"30 Robertson Quay #01-05 Riverside View Singapore 238251, Singapore","
Opening hours:
(Not available)
Closed:
This stall is closed",67320114
,,,
Two Fat Men,"376 East Coast Road Singapore 428984, Singapore","
Opening hours:
Daily: 5:00PM to 3:00AM",63460046 98570741
,,,
Nan Xiang Steam Buns Restaurant,"180 Kitchener Road #04-15/16 City Square Mall Singapore 208539, Singapore","
Opening hours:
Mon-Fri: 11:30AM to 10:00PM
Sat,Sun&PH: 11:00AM to 10:00PM",6509 9134
,,,
Kim’s Family Restaurant,"17 Lorong Kilat #01-06 Singapore 598139, Singapore","
Opening hours:
(Not available)",6465 0535
,,,
Seng Kee Bak Chor Mee,"Serangoon Gardens Food Centre Stall 4, Singapore","
Opening hours:
7:30AM to 3:00PM
Closed:
Mondays",84390434
,,,
Yuan Wei Seafood Restaurant,"1001 Serangoon Road, Singapore","
Opening hours:
5:00PM to 4:00AM",6297 7255
,,,
Peramakan,"Level 3 Keppel Club 10 Bukit Chermin Road S(109918), Singapore","
Opening hours:
(Not available)",63772829
,,,
Your Woul,"165 Thomson Road  Goldhill Centre , Singapore","
Opening hours:
11:30AM to 2:30PM
5:30PM to 10:30PM",6251 0123
,,,
D’Pastry,"Blk 3020 Ubi Ave 2 #01-121 Singapore 408896, Singapore","
Opening hours:
8:00AM to 6:00PM
Closed:
alt Sundays",67427168
,,,
Soon Kee Teochew Porridge,"(33 Sembawang Eating House) 33 Sembawang Road #01-04/07, Hong Heng Garden, Singapore 779084, Singapore","
Opening hours:
(Not available)",Tan Boon Huat Hp.9832 9787
,,,
Cafe de Hong Kong,"586 Balestier Road #01-01 Eastpac Building S329898 , Singapore","
Opening hours:
11:30AM to 3:00PM
5:30PM to 12:00AM
Closed:
Monday (except on PH)","62553865,"
,,,
Wanton Noodle,"Tiong Bahru Market Stall 02-30, Singapore","
Opening hours:
10:30AM to 3:00PM
Closed:
Fridays",
,,,
Tiong Bahru Fishball,"Tiong Bahru Market 30 Seng Poh Road Stall #02-20, Singapore","
Opening hours:
Daily: 7:00AM to 10:00PM",96362500
,,,
Tian Tian Curry Rice,"Blk 116, Bukit Merah View S(151116), Singapore","
Opening hours:
9:00AM to 9:00PM
Closed:
Alt Monday",91096732
,,,
Lee Kheong Roasted Delicacy,"531A Hong Lim Market & Food Centre #02-15, Upper Cross Street , Singapore","
Opening hours:
10:00AM to 6:00PM
Closed:
Sundays",93804854 (William)
,,,
Extra Space Self Storage,"301 Boon Keng Road Singapore 339779, Singapore","
Opening hours:
(Not available)",6304 3202
,,,
Cumi Bali Indonesian Restaurant,"66, Tanjong Pagar Road, Singapore 088487, Singapore","
Opening hours:
(Not available)",62206619
,,,
Beach Road Prawn Noodle House,"370 East Coast Road  Singapore 428981, Singapore","
Opening hours:
Daily: 8:00AM to 4:00PM
Closed:
Tuesdays",63457196
,,,
Xu Jun Sheng Teochew Cuisine,"121 Joo Chiat Road , Singapore","
Opening hours:
Mon-Sat: 11:00AM to 3:30PM
5:30PM to 9:00PM
Sun: 10:30AM to 3:30PM
Closed:
Wednesday","98472946, 90308600"
,,,
Shabu Shabu Gen,"#02-13 Shaw Centre,  1 Scotts Rd, Singapore","
Opening hours:
(Not available)",6836 5155
,,,
Private Affairs,"45 Joo Chiat Place Singapore 427769, Singapore","
Opening hours:
(Not available)",64400601
,,,
Big Ben’s Place,"15 Swan Lake Avenue (Opera Estate), Singapore","
Opening hours:
Mon-Sat: 12:00PM to 10:00PM",68760737
,,,
Kim Joo Guan,"257 South Bridge Road  Singapore 058806 , Singapore","
Opening hours:
(Not available)",62255257
,,,
Cacio e Pepe,"3 Chu Lin Road Singapore 669890, Singapore","
Opening hours:
Lunch: 11:30AM to 2:30PM
Dinner: 6:00PM to 10:30PM
Closed:
Mondays",6760 3534
,,,
Hajjah Mona Nasi Padang,"Geylang Serai Food Centre Stall No. #02-166, Singapore","
Opening hours:
8:00AM to 7:00PM
Closed:
Wednesday",82826902
,,,
Funan Weng Ipoh Ho Fun,"Maxwell Chambers 32 Maxwell Road #01-07  Singapore 069115, Singapore","
Opening hours:
(Not available)",96990498
,,,
Galley by the Straits,"SAF Yacht Club  43 Admiralty Road West  (S) 759962, Singapore","
Opening hours:
Daily: 11:00AM to 10:30PM",64911388/ 67579026
,,,
Sembawang Confectionery,"Blk 6, Beach Road #01-4869 Singapore 190006, Singapore","
Opening hours:
(Not available)",62953965
,,,
Wah Kee Prawn Noodles,"Blk 41A Cambridge Road Hawker Centre (Pek Kio) #01-15, Singapore","
Opening hours:
7:30AM to 2:00PM
Closed:
Mondays",96883633
,,,
Tong Siew,"Stall 26 Cambridge Road Food Centre, Singapore","
Opening hours:
12:30PM to 11:30PM
Closed:
Tuesdays",96939599
,,,
Chin Huat Live Seafood Restaurant,"Blk 105, #01-30 Clementi St 12 (Sunset Way) Singapore 120105, Singapore","
Opening hours:
(Not available)",67757348
,,,
Lee Heng Restaurant,"Blk 118, #01-29, Commonwealth Crescent Singapore 140118, Singapore","
Opening hours:
(Not available)",64759953
,,,
